Genetic_ID	Original_Group	Clean_Group	Locality	Suffix	Data_Type	Assessment	Assessment_Warning	Assessment_Basis	Relabel_Basis	Family_Relations
CYP19.HO	Cypriot	Cypriot	Nicosia	HO	HumanOrigins	Pass	..	AADR Pass	Original exact AADR group retained	..
CYP2.HO	Cypriot	Cypriot	Nicosia	HO	HumanOrigins	Pass	..	AADR Pass	Original exact AADR group retained	..
CYP5.HO	Cypriot	Cypriot	Nicosia	HO	HumanOrigins	Pass	..	AADR Pass	Original exact AADR group retained	..
Cyprus22AJ19.HO	Cypriot	Cypriot	Nicosia	HO	HumanOrigins	Pass	..	AADR Pass	Original exact AADR group retained	..
Cyprus24AJ19.HO	Cypriot	Cypriot	Nicosia	HO	HumanOrigins	Pass	..	AADR Pass	Original exact AADR group retained	..
HGDP00557.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..	AADR PROVISIONAL_PASS; DG Shotgun.diploid; no specific warning	Original exact AADR group retained	..
HGDP00557.HO	Druze	Druze	Israel, modern 1	HO	HumanOrigins	Pass	..	AADR Pass	Original exact AADR group retained	..
HGDP00558.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..	AADR PROVISIONAL_PASS; DG Shotgun.diploid; no specific warning	Original exact AADR group retained	..
HGDP00558.HO	Druze	Druze	Israel, modern 1	HO	HumanOrigins	Pass	..	AADR Pass	Original exact AADR group retained	..
HGDP00559.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..	AADR PROVISIONAL_PASS; DG Shotgun.diploid; no specific warning	Original exact AADR group retained	..
HGDP00559.HO	Druze	Druze	Israel, modern 1	HO	HumanOrigins	Pass	..	AADR Pass	Original exact AADR group retained	..
HGDP00560.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..	AADR PROVISIONAL_PASS; DG Shotgun.diploid; no specific warning	Original exact AADR group retained	..
HGDP00560.HO	Druze	Druze	Israel, modern 1	HO	HumanOrigins	Pass	..	AADR Pass	Original exact AADR group retained	..
HGDP00561.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..	AADR PROVISIONAL_PASS; DG Shotgun.diploid; no specific warning	Original exact AADR group retained	..
HGDP00561.HO	Druze	Druze	Israel, modern 1	HO	HumanOrigins	Pass	..	AADR Pass	Original exact AADR group retained	..
HGDP00562.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..	AADR PROVISIONAL_PASS; DG Shotgun.diploid; no specific warning	Original exact AADR group retained	..
HGDP00562.HO	Druze	Druze	Israel, modern 1	HO	HumanOrigins	Pass	..	AADR Pass	Original exact AADR group retained	..
HGDP00563.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..	AADR PROVISIONAL_PASS; DG Shotgun.diploid; no specific warning	Original exact AADR group retained	..
HGDP00563.HO	Druze	Druze	Israel, modern 1	HO	HumanOrigins	Pass	..	AADR Pass	Original exact AADR group retained	..
HGDP00564.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..	AADR PROVISIONAL_PASS; DG Shotgun.diploid; no specific warning	Original exact AADR group retained	..
HGDP00564.HO	Druze	Druze	Israel, modern 1	HO	HumanOrigins	Pass	..	AADR Pass	Original exact AADR group retained	..
HGDP00565.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..	AADR PROVISIONAL_PASS; DG Shotgun.diploid; no specific warning	Original exact AADR group retained	..
HGDP00565.HO	Druze	Druze	Israel, modern 1	HO	HumanOrigins	Pass	..	AADR Pass	Original exact AADR group retained	..
HGDP00566.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..	AADR PROVISIONAL_PASS; DG Shotgun.diploid; no specific warning	Original exact AADR group retained	..
HGDP00566.HO	Druze	Druze	Israel, modern 1	HO	HumanOrigins	Pass	..	AADR Pass	Original exact AADR group retained	..
HGDP00567.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..	AADR PROVISIONAL_PASS; DG Shotgun.diploid; no specific warning	Original exact AADR group retained	..
HGDP00567.HO	Druze	Druze	Israel, modern 1	HO	HumanOrigins	Pass	..	AADR Pass	Original exact AADR group retained	..
HGDP00568.DG	Druze	Druze	Israel, modern 1	DG	Shotgun.diploid	PROVISIONAL_PASS	..	AADR PROVISIONAL_PASS; DG Shotgun.diploid; no specific warning	Original exact AADR group retained	..
