Genetic_ID	Clean_Group
S_Bergamo-1.DG	Italian_Bergamo
S_Bergamo-2.DG	Italian_Bergamo
S_Tuscan-1.DG	Italian_Tuscan
S_Tuscan-2.DG	Italian_Tuscan
HGDP01149.DG	Italian_Bergamo
HGDP01151.DG	Italian_Bergamo
HGDP01152.DG	Italian_Bergamo
HGDP01153.DG	Italian_Bergamo
HGDP01155.DG	Italian_Bergamo
HGDP01156.DG	Italian_Bergamo
HGDP01157.DG	Italian_Bergamo
HGDP01161.DG	Italian_Tuscan
HGDP01162.DG	Italian_Tuscan
HGDP01163.DG	Italian_Tuscan
HGDP01164.DG	Italian_Tuscan
HGDP01166.DG	Italian_Tuscan
HGDP01167.DG	Italian_Tuscan
HGDP01168.DG	Italian_Tuscan
HGDP01169.DG	Italian_Tuscan
HGDP01171.DG	Italian_Bergamo
HGDP01172.DG	Italian_Bergamo
HGDP01173.DG	Italian_Bergamo
HGDP01174.DG	Italian_Bergamo
HGDP01177.DG	Italian_Bergamo
