panel	K	replicates	mean_cv_error	sd_cv_error	min_cv_error	max_cv_error	best_replicate	best_seed	best_log_likelihood	total_elapsed_seconds
primary	2	5	0.48086400000000007	3.3615472627953724e-05	0.48084	0.48092	4	21284771	-22292163.687461	49.27029828300033
primary	3	5	0.4783700000000001	6.041522986796207e-05	0.47831	0.47846	3	21293769	-22151255.439297	51.390255724000326
primary	4	5	0.47686	0.0001315294643796545	0.47665	0.47699	1	21301758	-22046421.525914	82.53460549700048
primary	5	5	0.47529199999999994	0.0003304088376541951	0.47488	0.47575	3	21313783	-21950331.230146	133.78628226599994
primary	6	5	0.473956	0.0007247965231704643	0.47319	0.47512	2	21322781	-21845047.200446	138.05169059599984
primary	7	5	0.472384	0.0018597123433477631	0.47002	0.47493	4	21334806	-21740488.775151	177.25847015300042
primary	8	5	0.471688	0.0020462453420838737	0.46961	0.47389	2	21342795	-21665489.067561	199.9050045060003
primary	9	5	0.468546	0.0034823382948817546	0.46336	0.47196	4	21354820	-21554041.763429	200.2158488519999
primary	10	5	0.46809200000000006	0.002231394183016535	0.46592	0.4712	2	21362809	-21476570.132187	244.98742228000083
primary	11	5	0.464708	0.0025252168223738832	0.46159	0.46855	5	21375843	-21370794.365602	401.0422674630008
primary	12	5	0.462634	0.0020084645876888144	0.46092	0.46557	1	21381814	-21280956.676719	491.5881528210007
strict_pass	2	5	0.483352	1.483239697420616e-05	0.48333	0.48337	2	22282783	-14906207.103084	25.46698542300055
strict_pass	3	5	0.48632600000000004	3.0495901363960645e-05	0.48629	0.48637	4	22294808	-14838750.116266	36.21031372900143
strict_pass	4	5	0.49304000000000003	0.0013067516979135827	0.49199	0.49475	1	22301788	-14787947.797074	59.12420267000016
strict_pass	5	5	0.500494	0.002061778358602098	0.49917	0.50415	1	22311795	-14734957.227281	89.31500454199886
strict_pass	6	5	0.510546	0.00208537286833794	0.50798	0.5122	1	22321802	-14688430.762356	114.30887945300037
strict_pass	7	5	0.519276	0.002804394765363832	0.5153	0.52259	2	22332818	-14646699.207773	180.13057079699956
strict_pass	8	5	0.526818	0.003625157927594342	0.52328	0.53103	4	22344843	-14600418.588548	241.5057725150018
strict_pass	9	5	0.536772	0.001761212650420148	0.53395	0.53822	4	22354850	-14562069.794618	395.49894447899896
strict_pass	10	5	0.543314	0.0024178151294091716	0.53985	0.54609	1	22361830	-14519779.360803	419.2196073720006
strict_pass	11	5	0.552204	0.0013938543682895748	0.54998	0.55341	4	22374864	-14477263.883379	522.0613058840008
strict_pass	12	5	0.5610419999999999	0.00404466562276784	0.55752	0.56799	3	22383862	-14435418.104112	611.3658380969991
