panel	K	replicate	seed	cv_error	log_likelihood	elapsed_seconds	executable	threads	q_path	p_path	log_path
primary	2	1	21281744	0.480870000000	-22292163.687453	11.701	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/primary/K02/rep01/dataset.2.Q	results/admixture/runs/primary/K02/rep01/dataset.2.P	results/admixture/runs/primary/K02/rep01/admixture.log
primary	2	2	21282753	0.480840000000	-22292163.687479	8.163	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/primary/K02/rep02/dataset.2.Q	results/admixture/runs/primary/K02/rep02/dataset.2.P	results/admixture/runs/primary/K02/rep02/admixture.log
primary	2	3	21283762	0.480920000000	-22290236.534319	10.503	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/primary/K02/rep03/dataset.2.Q	results/admixture/runs/primary/K02/rep03/dataset.2.P	results/admixture/runs/primary/K02/rep03/admixture.log
primary	2	4	21284771	0.480840000000	-22292163.687461	9.385	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/primary/K02/rep04/dataset.2.Q	results/admixture/runs/primary/K02/rep04/dataset.2.P	results/admixture/runs/primary/K02/rep04/admixture.log
primary	2	5	21285780	0.480850000000	-22292163.687452	9.519	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/primary/K02/rep05/dataset.2.Q	results/admixture/runs/primary/K02/rep05/dataset.2.P	results/admixture/runs/primary/K02/rep05/admixture.log
primary	3	1	21291751	0.478390000000	-22151255.482158	9.727	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/primary/K03/rep01/dataset.3.Q	results/admixture/runs/primary/K03/rep01/dataset.3.P	results/admixture/runs/primary/K03/rep01/admixture.log
primary	3	2	21292760	0.478460000000	-22151255.509233	10.478	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/primary/K03/rep02/dataset.3.Q	results/admixture/runs/primary/K03/rep02/dataset.3.P	results/admixture/runs/primary/K03/rep02/admixture.log
primary	3	3	21293769	0.478310000000	-22151255.439297	10.804	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/primary/K03/rep03/dataset.3.Q	results/admixture/runs/primary/K03/rep03/dataset.3.P	results/admixture/runs/primary/K03/rep03/admixture.log
primary	3	4	21294778	0.478320000000	-22151255.431388	10.873	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/primary/K03/rep04/dataset.3.Q	results/admixture/runs/primary/K03/rep04/dataset.3.P	results/admixture/runs/primary/K03/rep04/admixture.log
primary	3	5	21295787	0.478370000000	-22151255.434342	9.508	/home/computer/popgen/projects/ashkenazi_reference_test/tools/admixture_linux-1.4.0/admixture	8	results/admixture/runs/primary/K03/rep05/dataset.3.Q	results/admixture/runs/primary/K03/rep05/dataset.3.P	results/admixture/runs/primary/K03/rep05/admixture.log
