panel	K	best_replicate	best_cv_error	best_log_likelihood	mean_aligned_q_rmse_to_best	max_aligned_q_rmse_to_best	mean_component_correlation_to_best	minimum_component_correlation_summary
primary	2	4	0.48084	-22292163.687461	0.055289725859009355	0.27642375728266483	0.9222422252211693	0.611211126581023
strict_pass	2	2	0.48333	-14906207.103084	9.239018762166355e-06	2.5421069395894328e-05	0.999999999835157	0.9999999994288774
primary	3	3	0.47831	-22151255.439297	4.954859475248742e-06	9.170275219759487e-06	0.9999999999215021	0.9999999997926886
strict_pass	3	4	0.48629	-14838750.116266	1.0577731191862465e-05	1.763082964145838e-05	0.9999999996931723	0.9999999993948415
primary	4	1	0.47665	-22046421.525914	0.09374492891747516	0.15860184375405276	0.8418058698599784	0.6622989761039001
strict_pass	4	1	0.49199	-14787947.797074	0.09781079635868628	0.21279523717713772	0.8510883070884694	0.6313580269093857
primary	5	3	0.47488	-21950331.230146	0.12869556124138146	0.20191361577227027	0.7538012302658545	0.5751438997901659
strict_pass	5	1	0.49917	-14734957.227281	0.041822641918739044	0.08207396984188396	0.9515224375641654	0.8690186086211936
primary	6	2	0.47319	-21845047.200446	0.10411349846409354	0.14622769814835057	0.766572975341972	0.6580064817552894
strict_pass	6	1	0.50798	-14688430.762356	0.13713430669400034	0.21148110880959245	0.7905493222332566	0.669341687676185
primary	7	4	0.47002	-21740488.775151	0.1088574203624854	0.16224324355790626	0.7486846871616593	0.651404528588202
strict_pass	7	2	0.5153	-14646699.207773	0.1308114059866315	0.19596530148827324	0.7579818414497492	0.6042357115669306
primary	8	2	0.46961	-21665489.067561	0.11558761700406002	0.1703826077520101	0.7209650947529006	0.5927988425679696
strict_pass	8	4	0.52328	-14600418.588548	0.10280302223686125	0.15674241418162735	0.8286588174635255	0.7514098556303246
primary	9	4	0.46336	-21554041.763429	0.12769187422929087	0.1812141954505907	0.720015489030538	0.5833579488175066
strict_pass	9	4	0.53395	-14562069.794618	0.13804451757001365	0.1770253850346326	0.742520707297598	0.6444573670821417
primary	10	2	0.46592	-21476570.132187	0.1135645427426327	0.16744290257219835	0.7430428408769926	0.5727123437925091
strict_pass	10	1	0.53985	-14519779.360803	0.13553433884219585	0.1825209949098397	0.7951922660474151	0.7034760328644323
primary	11	5	0.46159	-21370794.365602	0.10061891259276035	0.1357753655446205	0.8119150508788596	0.7174443579637629
strict_pass	11	4	0.54998	-14477263.883379	0.15289314794758704	0.2092650362583521	0.7416471314686377	0.594609865626279
primary	12	1	0.46092	-21280956.676719	0.1051787039285782	0.14117660795378104	0.7840211917191061	0.6718826410302975
strict_pass	12	3	0.55752	-14435418.104112	0.1563448103394744	0.2066780260466412	0.6715467282687981	0.5543943679234026
