panel	K	Ashkenazi_population	comparator	component_euclidean_distance	rank	source
primary	2	Jew_Ashkenazi	Maltese	0.01665761749017482	1	aligned_replicate_consensus
primary	2	Jew_Ashkenazi	Italian_South	0.029516391038872047	2	aligned_replicate_consensus
primary	2	Jew_Ashkenazi	Sicilian	0.03056593034945694	3	aligned_replicate_consensus
primary	2	Jew_Ashkenazi	Jew_Turkish	0.061948867485344956	4	aligned_replicate_consensus
primary	2	Jew_Ashkenazi	Greek	0.07736200947184495	5	aligned_replicate_consensus
primary	2	Jew_Ashkenazi	Italian_Central	0.08577358798979608	6	aligned_replicate_consensus
primary	2	Jew_Ashkenazi	Cypriot	0.09538207818137297	7	aligned_replicate_consensus
primary	2	Jew_Ashkenazi	Lebanese_Christian	0.1539528328109366	8	aligned_replicate_consensus
primary	2	Jew_Ashkenazi	Italian_North	0.15717761780193595	9	aligned_replicate_consensus
primary	2	Jew_Ashkenazi	Jew_Iraqi	0.16845035637452083	10	aligned_replicate_consensus
primary	2	Jew_Ashkenazi	Lebanese_Muslim	0.17494840734976483	11	aligned_replicate_consensus
primary	2	Jew_Ashkenazi	Lebanese	0.19979350084671763	12	aligned_replicate_consensus
primary	2	Jew_Ashkenazi	Palestinian	0.3567556009346317	13	aligned_replicate_consensus
primary	2	Jew_Ashkenazi	Jew_Yemenite	0.3589363601630566	14	aligned_replicate_consensus
primary	2	Jew_Ashkenazi	Italian_Tuscan	0.3773270605135045	15	aligned_replicate_consensus
primary	2	Jew_Ashkenazi	Italian_Bergamo	0.38861217062265235	16	aligned_replicate_consensus
primary	2	Jew_Ashkenazi	Druze	0.6778753631645447	17	aligned_replicate_consensus
strict_pass	2	Jew_Ashkenazi	Maltese	0.024513654641361085	1	aligned_replicate_consensus
strict_pass	2	Jew_Ashkenazi	Sicilian	0.07140442884656134	2	aligned_replicate_consensus
strict_pass	2	Jew_Ashkenazi	Italian_South	0.1251152442830239	3	aligned_replicate_consensus
strict_pass	2	Jew_Ashkenazi	Jew_Turkish	0.14034382651803576	4	aligned_replicate_consensus
strict_pass	2	Jew_Ashkenazi	Cypriot	0.19920512032455007	5	aligned_replicate_consensus
strict_pass	2	Jew_Ashkenazi	Italian_Central	0.25243673702563046	6	aligned_replicate_consensus
strict_pass	2	Jew_Ashkenazi	Greek	0.2825172794860827	7	aligned_replicate_consensus
strict_pass	2	Jew_Ashkenazi	Italian_Tuscan	0.355488735119031	8	aligned_replicate_consensus
strict_pass	2	Jew_Ashkenazi	Italian_North	0.38613579499206047	9	aligned_replicate_consensus
strict_pass	2	Jew_Ashkenazi	Lebanese_Christian	0.3874598745923003	10	aligned_replicate_consensus
strict_pass	2	Jew_Ashkenazi	Italian_Bergamo	0.3875143554862032	11	aligned_replicate_consensus
strict_pass	2	Jew_Ashkenazi	Lebanese_Muslim	0.42725231298906885	12	aligned_replicate_consensus
strict_pass	2	Jew_Ashkenazi	Jew_Iraqi	0.452752276289435	13	aligned_replicate_consensus
strict_pass	2	Jew_Ashkenazi	Lebanese	0.4909082060365558	14	aligned_replicate_consensus
strict_pass	2	Jew_Ashkenazi	Druze	0.7918438500962977	15	aligned_replicate_consensus
strict_pass	2	Jew_Ashkenazi	Palestinian	0.8210140064763618	16	aligned_replicate_consensus
