K	strict_to_primary_component_assignment	mean_matched_population_profile_correlation	minimum_matched_population_profile_correlation	all_population_mean_q_rmse	ashkenazi_mean_q_rmse	ashkenazi_l1_distance
2	1,2	0.9139445719850927	0.9139445719850926	0.15935582321593686	0.03496025714285722	0.06992051428571444
3	1,3,2	0.95836341204754	0.9487860627841895	0.11542352408489952	0.08079933617581458	0.22310199821691976
4	2,1,4,3	0.6292032041826421	-0.36214349581415417	0.12936244687396378	0.09346920569828561	0.3550516513600709
5	1,5,2,4,3	0.7218173585950256	0.11168227902681495	0.13610576577908032	0.05422662130422417	0.2501785417056766
6	4,1,2,5,6,3	0.6581782429936703	0.04382409075922792	0.15042005525257462	0.12048855170974654	0.543831331286273
7	6,7,1,4,5,3,2	0.6113768008661432	-0.14784449866931876	0.13627370262503713	0.1121434013320166	0.5817341729882131
8	2,3,5,4,1,8,6,7	0.5320928152630937	-0.10224667126788169	0.17153515378349232	0.1399874459758208	0.7970882818971026
9	6,3,9,7,2,4,8,5,1	0.6136350086985429	-0.18145563890997726	0.12930754824967747	0.11507026259349891	0.6796327585890659
10	9,6,8,5,4,7,1,3,10,2	0.6612845147425408	-0.058015263192074576	0.2148093830828435	0.2206479610865793	1.4617578327299625
11	11,10,1,7,5,4,8,3,2,6,9	0.5410321350532667	-0.05713521424093934	0.18025677643270005	0.2619195767691856	1.7867464883968538
12	1,12,9,3,8,2,11,5,10,6,4,7	0.5326907167997471	-0.0692101158133336	0.1735705105307107	0.21698209471224394	1.6385180162508794
