K	population	component_rmse	component_l1_distance	is_ashkenazi
2	Jew_Yemenite	0.40004728	0.80009456	0
2	Palestinian	0.2933200096385543	0.5866400192771086	0
2	Italian_North	0.19685813684210535	0.3937162736842107	0
2	Greek	0.1800269397660819	0.3600538795321638	0
2	Lebanese	0.170888925	0.34177785	0
2	Jew_Iraqi	0.16607155833333334	0.3321431166666667	0
2	Italian_Central	0.15280889999999994	0.3056177999999999	0
2	Lebanese_Muslim	0.14344554545454544	0.2868910909090909	0
2	Lebanese_Christian	0.1301541555555555	0.260308311111111	0
2	Italian_South	0.10255885454545456	0.20511770909090912	0
2	Sicilian	0.06383743636363637	0.12767487272727274	0
2	Druze	0.04562763280815571	0.09125526561631142	0
2	Cypriot	0.038453720000000025	0.07690744000000005	0
2	Jew_Ashkenazi	0.03496025714285722	0.06992051428571444	1
2	Italian_Bergamo	0.03418398461538479	0.06836796923076957	0
2	Maltese	0.029405199999999965	0.05881039999999993	0
2	Jew_Turkish	0.02047335000000003	0.04094670000000006	0
2	Italian_Tuscan	0.019518229166666613	0.03903645833333323	0
3	Jew_Yemenite	0.2784747635565758	0.7647862647466617	0
3	Italian_North	0.14611507436249763	0.41023302966011266	0
3	Greek	0.14015653879132978	0.3948742568166398	0
3	Palestinian	0.12538005017275816	0.3500087539263363	0
3	Italian_Central	0.12371064137588239	0.3471574510759019	0
3	Lebanese	0.12157262769885976	0.34095053111057516	0
3	Jew_Iraqi	0.11881574655150809	0.33316000969780135	0
3	Lebanese_Muslim	0.10746317586366295	0.303853969122978	0
3	Lebanese_Christian	0.10438384613935846	0.2951206161974306	0
3	Italian_South	0.09941855721617864	0.2670547970581313	0
3	Sicilian	0.08385962440773666	0.21449626536122074	0
3	Jew_Ashkenazi	0.08079933617581458	0.22310199821691976	1
3	Maltese	0.07210531951154432	0.199017132202615	0
3	Jew_Turkish	0.06684660044426044	0.18344690298282929	0
3	Cypriot	0.06326943593351925	0.16320442047797615	0
3	Druze	0.03808318859108921	0.10042726846079954	0
3	Italian_Tuscan	0.014623806397703432	0.0412472666666667	0
3	Italian_Bergamo	0.01091773870751245	0.03072350491735112	0
4	Jew_Yemenite	0.34219062893920116	1.1660642265650292	0
4	Jew_Iraqi	0.143508891434313	0.47889312755838426	0
4	Lebanese	0.14254599323979963	0.46862841920520776	0
4	Lebanese_Muslim	0.12957256635538156	0.4353927599856841	0
4	Lebanese_Christian	0.12663617006215197	0.4266745989569858	0
4	Italian_North	0.12125494930297101	0.4087707654292695	0
4	Greek	0.11498326372150765	0.3871449367024663	0
4	Italian_Bergamo	0.10782014944108687	0.3174251871794872	0
4	Italian_Central	0.10328464578085261	0.3626567822071082	0
4	Palestinian	0.0959870699924909	0.37356641675218827	0
4	Italian_South	0.09378639886318403	0.35447593099629837	0
4	Jew_Ashkenazi	0.09346920569828561	0.3550516513600709	1
4	Cypriot	0.09141047802428925	0.3022039368720035	0
4	Jew_Turkish	0.08937356652592189	0.3023837209979619	0
4	Sicilian	0.08868717141869178	0.3504626913599026	0
4	Maltese	0.08508870320489413	0.324847032084318	0
4	Druze	0.04082343224396903	0.12620033959707572	0
4	Italian_Tuscan	0.01763322056930032	0.059325077168774734	0
5	Palestinian	0.30775167845948875	1.1296217469290886	0
5	Druze	0.27400026422131785	0.9390314111103363	0
5	Jew_Yemenite	0.27387405698803596	1.0591295941476166	0
5	Italian_North	0.10829288053902034	0.4215798355335888	0
5	Jew_Iraqi	0.10593829322666573	0.47978664761812767	0
5	Greek	0.10009373448044016	0.381435457783878	0
5	Lebanese_Muslim	0.09738239834852629	0.43973916959854226	0
5	Lebanese	0.09684831785572781	0.44308867754435216	0
5	Lebanese_Christian	0.09274955732331301	0.41006503949976914	0
5	Italian_Central	0.08785508640626413	0.3331097696664154	0
5	Cypriot	0.06725692535010298	0.2550058836600204	0
5	Sicilian	0.060368893318567464	0.2478761834946096	0
5	Maltese	0.060172440243289334	0.25779264199621543	0
5	Jew_Turkish	0.060105630237932015	0.23916851900555963	0
5	Jew_Ashkenazi	0.05422662130422417	0.2501785417056766	1
5	Italian_Bergamo	0.032000088119217694	0.12338752717630806	0
5	Italian_South	0.030414425521239657	0.13483203793832474	0
5	Italian_Tuscan	0.014420981715728627	0.05496951995385971	0
6	Jew_Iraqi	0.28605050489501843	1.225465549854637	0
6	Palestinian	0.24435134446267934	0.9877963312599586	0
6	Lebanese_Christian	0.22452027339608652	0.9713663011974589	0
6	Lebanese	0.20210016788588353	0.9290572274166905	0
6	Lebanese_Muslim	0.17937066210336666	0.8248223226392402	0
6	Jew_Yemenite	0.14031913586318262	0.6038922080871241	0
6	Cypriot	0.13021888899597356	0.5545161830733419	0
6	Druze	0.12770393756650097	0.5674289190953521	0
6	Jew_Ashkenazi	0.12048855170974654	0.543831331286273	1
6	Greek	0.10752946918180098	0.5059475538038058	0
6	Italian_North	0.10656136216453024	0.4323235059980057	0
6	Jew_Turkish	0.10488255835675449	0.464842765162623	0
6	Maltese	0.10212797311529359	0.4992730406413123	0
6	Italian_Central	0.09747696754685946	0.46929150291535393	0
6	Italian_South	0.09178201513899796	0.44699059679396247	0
6	Sicilian	0.09080772140380156	0.44844293162919224	0
6	Italian_Bergamo	0.054646879054649086	0.22237160962477887	0
6	Italian_Tuscan	0.036506528242537445	0.1452662007564309	0
7	Jew_Iraqi	0.26950138931025386	1.3776834654014596	0
7	Palestinian	0.21344712381181957	1.0185679673684584	0
7	Lebanese_Christian	0.20303903477046129	1.0717159123929263	0
7	Lebanese	0.18061123395808953	1.0037195397405498	0
7	Lebanese_Muslim	0.16714734535600775	0.9483368287847567	0
7	Jew_Yemenite	0.12139265100145541	0.5872374821429175	0
7	Cypriot	0.12116091919408799	0.6368257067239989	0
7	Jew_Ashkenazi	0.1121434013320166	0.5817341729882131	1
7	Italian_North	0.10275869430190163	0.46404547369744664	0
7	Jew_Turkish	0.09744191884379233	0.5069260822402786	0
7	Greek	0.09556985557756525	0.47346208928767575	0
7	Maltese	0.09336622465054835	0.5290328822371584	0
7	Druze	0.08974796512224308	0.4849905813915991	0
7	Italian_Central	0.08528612229364545	0.4462789632595316	0
7	Italian_South	0.08488553126465959	0.5007900397871676	0
7	Sicilian	0.08139096981008913	0.47096148013364303	0
7	Italian_Bergamo	0.06693752522587659	0.3021028167336651	0
7	Italian_Tuscan	0.027544733845966136	0.1489207575188409	0
8	Jew_Iraqi	0.37381861648337256	1.8393672995509625	0
8	Lebanese_Christian	0.28980282706986005	1.532124580739658	0
8	Palestinian	0.247429920644949	1.3005832279066492	0
8	Lebanese_Muslim	0.23781475153052656	1.3237424585802002	0
8	Lebanese	0.2254280887950567	1.343151404737746	0
8	Cypriot	0.16297426145223687	0.8717305375272043	0
8	Jew_Ashkenazi	0.1399874459758208	0.7970882818971026	1
8	Jew_Yemenite	0.1381038070203396	0.703408005872135	0
8	Jew_Turkish	0.12099413129591474	0.6587413543162088	0
8	Maltese	0.10485055738392145	0.5653322940274155	0
8	Italian_South	0.10067432649009966	0.6839263325176659	0
8	Sicilian	0.08589168916863227	0.49499733384104205	0
8	Greek	0.07485282653485914	0.47047184883037596	0
8	Druze	0.07405630559232448	0.3734691736579083	0
8	Italian_Central	0.07142205278961708	0.45636898146675264	0
8	Italian_North	0.06986459664113102	0.4221996475986709	0
8	Italian_Bergamo	0.0670778702823946	0.34028357979640933	0
8	Italian_Tuscan	0.05806641094209089	0.27174760634160156	0
9	Jew_Yemenite	0.3247296335911345	1.698458387408091	0
9	Jew_Iraqi	0.1950466458519876	1.12128485184471	0
9	Lebanese_Christian	0.1624445256983184	0.961828455573844	0
9	Maltese	0.15788641364899414	0.8020937536266102	0
9	Palestinian	0.12857593735070622	0.8343596691019095	0
9	Lebanese_Muslim	0.12715500375465857	0.7437487469019144	0
9	Lebanese	0.12419238324789279	0.768426171225604	0
9	Jew_Ashkenazi	0.11507026259349891	0.6796327585890659	1
9	Cypriot	0.09368148902225641	0.5897253475164741	0
9	Sicilian	0.07685860749812078	0.4179066462243098	0
9	Jew_Turkish	0.07283972844795632	0.44393611138857403	0
9	Italian_South	0.06786064039482888	0.4816934613550462	0
9	Italian_Tuscan	0.06734862132534015	0.37790967945105164	0
9	Italian_North	0.06270381311752901	0.35524661003082697	0
9	Italian_Central	0.06043404813740057	0.3326589511922278	0
9	Italian_Bergamo	0.054250009590338384	0.2703959102648159	0
9	Druze	0.050818796304621966	0.3503081874360569	0
9	Greek	0.0505405957050367	0.33416124498915417	0
10	Italian_Tuscan	0.3214414262480656	1.5118375865958873	0
10	Jew_Iraqi	0.2651353121155546	1.4931516446565913	0
10	Italian_Bergamo	0.2612435129214979	1.2219457816127148	0
10	Greek	0.24804135322144605	1.2975883010323035	0
10	Italian_North	0.24743931726619317	1.2825916077511677	0
10	Italian_Central	0.23844128222569563	1.2576188023954558	0
10	Jew_Yemenite	0.23601780757606247	1.3365771974192913	0
10	Sicilian	0.22246496713983277	1.2070419982419547	0
10	Jew_Ashkenazi	0.2206479610865793	1.4617578327299625	1
10	Maltese	0.21160979684981232	1.244867241042613	0
10	Lebanese_Christian	0.19163973039689775	1.2345776189982238	0
10	Italian_South	0.18259511740456885	1.103732113780649	0
10	Cypriot	0.17843232573458453	1.179882039953427	0
10	Jew_Turkish	0.17332659709807816	1.067616048007173	0
10	Lebanese_Muslim	0.16411445116134676	1.094791583244346	0
10	Lebanese	0.15476992616353522	1.0537709687809589	0
10	Palestinian	0.14909911444220283	0.9389388801444832	0
10	Druze	0.07332609221362933	0.5803269434049222	0
11	Jew_Ashkenazi	0.2619195767691856	1.7867464883968538	1
11	Italian_North	0.256363821279873	1.4235570012278898	0
11	Italian_Tuscan	0.2548508815420642	1.2840752024709345	0
11	Italian_Bergamo	0.2429727568059329	1.3308446969385503	0
11	Italian_Central	0.1884531976048634	1.1794836159806126	0
11	Greek	0.17772694718517357	1.1254210071025685	0
11	Palestinian	0.17227896518257574	1.1724630336064612	0
11	Jew_Iraqi	0.16339107133397857	1.0165867957348838	0
11	Sicilian	0.15934301400448683	1.1202696150486249	0
11	Lebanese_Muslim	0.15677585491531734	1.1449618099076173	0
11	Lebanese	0.15622499216536237	1.1472171423976398	0
11	Italian_South	0.15438625020611926	1.138468391689815	0
11	Maltese	0.15292376312682962	1.1491915106629405	0
11	Jew_Turkish	0.14812874526443193	1.2169905781285906	0
11	Druze	0.14696959396022177	0.9920654990224574	0
11	Lebanese_Christian	0.1280142900351912	1.028327704298327	0
11	Cypriot	0.10461154119910876	0.8491613079121374	0
11	Jew_Yemenite	0.10299809904758313	0.628397606671588	0
12	Maltese	0.2582436830164033	1.682705595440294	0
12	Italian_North	0.236117103171127	1.3702657296124556	0
12	Greek	0.22556558021969744	1.3910435344007719	0
12	Jew_Yemenite	0.22412504180635703	1.4372020271419392	0
12	Italian_Tuscan	0.22116195161536248	1.2423877156942527	0
12	Jew_Ashkenazi	0.21698209471224394	1.6385180162508794	1
12	Italian_Bergamo	0.2159239595409479	1.2412497289132647	0
12	Italian_Central	0.17128278156867532	1.1473686716352596	0
12	Italian_South	0.14226765692554602	1.1378863419724503	0
12	Jew_Turkish	0.1411800381866958	1.1039218946987215	0
12	Sicilian	0.14104425070296348	1.0631580590879108	0
12	Palestinian	0.13490498578482385	0.9254742580228139	0
12	Lebanese_Christian	0.11846489442710503	0.8953013824354974	0
12	Cypriot	0.11343098013562937	0.8458012367979939	0
12	Jew_Iraqi	0.11200266802184673	0.8933877246331792	0
12	Lebanese	0.10248135805488151	0.7678721309461172	0
12	Druze	0.09738241882708933	0.8229527643701539	0
12	Lebanese_Muslim	0.0952767299445374	0.7572893641550604	0
