Panel	Ashkenazi_population	Comparator	Rank_nearest_lowest_FST	Hudson_FST_ratio_of_sums	Chromosome_jackknife_SE	CI95_low	CI95_high	SNPs_used	Negative_numerator_SNPs
primary	Jew_Ashkenazi	Jew_Turkish	1	0.004393095186199773	0.00043400160853939525	0.0035424520334625584	0.005243738338936987	165765	100428
primary	Jew_Ashkenazi	Sicilian	2	0.005083613921845823	0.000548805634871385	0.004007954877497908	0.006159272966193737	168832	114502
primary	Jew_Ashkenazi	Italian_Central	3	0.005127579439857978	0.00040752852846596944	0.004328823524064678	0.005926335355651279	171428	103810
primary	Jew_Ashkenazi	Italian_South	4	0.005640459927977246	0.000417708617853299	0.00482175103698478	0.006459168818969712	174194	110306
primary	Jew_Ashkenazi	Greek	5	0.005653984190853242	0.0004499911523023339	0.004772001532340668	0.006535966849365816	172325	112423
primary	Jew_Ashkenazi	Italian_North	6	0.005941811275323208	0.0004868466291754956	0.004987591882139236	0.006896030668507179	172025	112414
primary	Jew_Ashkenazi	Lebanese_Muslim	7	0.006103783828964277	0.0005389445178244036	0.005047452574028446	0.007160115083900108	170323	114358
primary	Jew_Ashkenazi	Cypriot	8	0.006622874078342364	0.0008251828028187241	0.005005515784817664	0.008240232371867063	160535	110771
primary	Jew_Ashkenazi	Maltese	9	0.006646429101864536	0.0004999964801577591	0.005666436000755328	0.007626422202973744	165942	99721
primary	Jew_Ashkenazi	Lebanese_Christian	10	0.006783166123863392	0.0005883730102006838	0.005629955023870052	0.007936377223856733	166642	102922
primary	Jew_Ashkenazi	Lebanese	11	0.007455562459110745	0.0007140118013183199	0.006056099328526838	0.008855025589694651	167282	99297
primary	Jew_Ashkenazi	Palestinian	12	0.01320502506501451	0.0004221987181431555	0.012377515577453925	0.014032534552575094	182278	97874
primary	Jew_Ashkenazi	Druze	13	0.01435070093200131	0.00030154897167431274	0.013759664947519658	0.014941736916482963	179182	96346
primary	Jew_Ashkenazi	Italian_Bergamo	14	0.018275620304141205	0.0006042169510826731	0.017091355080019164	0.019459885528263245	168745	94582
primary	Jew_Ashkenazi	Italian_Tuscan	15	0.02239242377304382	0.0005889993301372412	0.02123798508597483	0.023546862460112814	164531	93211
primary	Jew_Ashkenazi	Jew_Iraqi	16	0.027274481695727718	0.0006352172940577109	0.026029455799374605	0.028519507592080832	162380	90518
primary	Jew_Ashkenazi	Jew_Yemenite	17	0.028354060906368803	0.00045844129629176984	0.027455515965636935	0.029252605847100672	166171	94061
