Panel	Ashkenazi_population	Comparator	Rank_nearest_lowest_WC_FST	PLINK_Weir_Cockerham_weighted_FST	PLINK_Weir_Cockerham_mean_FST	Per_variant_rows	Ashkenazi_N	Comparator_N	PLINK_log	PLINK_fst_file
primary	Jew_Ashkenazi	Jew_Turkish	1	0.00425547	-8.1043e-05	184385	7	8	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Jew_Turkish.log	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Jew_Turkish.fst
primary	Jew_Ashkenazi	Sicilian	2	0.00485132	0.00103185	184385	7	11	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Sicilian.log	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Sicilian.fst
primary	Jew_Ashkenazi	Italian_Central	3	0.00535376	0.00201863	184385	7	16	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Italian_Central.log	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Italian_Central.fst
primary	Jew_Ashkenazi	Lebanese_Muslim	4	0.00543044	0.00129676	184385	7	11	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Lebanese_Muslim.log	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Lebanese_Muslim.fst
primary	Jew_Ashkenazi	Italian_South	5	0.00564799	0.0023621	184385	7	22	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Italian_South.log	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Italian_South.fst
primary	Jew_Ashkenazi	Greek	6	0.00565761	0.00237408	184385	7	19	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Greek.log	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Greek.fst
primary	Jew_Ashkenazi	Lebanese	7	0.00567166	0.000950273	184385	7	8	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Lebanese.log	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Lebanese.fst
primary	Jew_Ashkenazi	Italian_North	8	0.00594655	0.00285829	184385	7	19	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Italian_North.log	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Italian_North.fst
primary	Jew_Ashkenazi	Cypriot	9	0.00628483	-0.000474611	184385	7	5	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Cypriot.log	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Cypriot.fst
primary	Jew_Ashkenazi	Maltese	10	0.00688897	0.00205642	184385	7	8	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Maltese.log	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Maltese.fst
primary	Jew_Ashkenazi	Lebanese_Christian	11	0.00689506	0.00229889	184385	7	9	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Lebanese_Christian.log	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Lebanese_Christian.fst
primary	Jew_Ashkenazi	Palestinian	12	0.012264	0.00890248	184385	7	83	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Palestinian.log	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Palestinian.fst
primary	Jew_Ashkenazi	Druze	13	0.013991	0.0129322	184385	7	83	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Druze.log	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Druze.fst
primary	Jew_Ashkenazi	Italian_Bergamo	14	0.0200671	0.0197059	184385	7	26	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Italian_Bergamo.log	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Italian_Bergamo.fst
primary	Jew_Ashkenazi	Italian_Tuscan	15	0.0245602	0.0229784	184385	7	16	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Italian_Tuscan.log	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Italian_Tuscan.fst
primary	Jew_Ashkenazi	Jew_Iraqi	16	0.0284653	0.019954	184385	7	8	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Jew_Iraqi.log	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Jew_Iraqi.fst
primary	Jew_Ashkenazi	Jew_Yemenite	17	0.0288065	0.0207649	184385	7	10	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Jew_Yemenite.log	results/fst/weir_cockerham_validation/primary/Jew_Ashkenazi__Jew_Yemenite.fst
