Panel	Population_1	Population_2	Hudson_FST_ratio_of_sums	Chromosome_jackknife_SE	CI95_low	CI95_high	SNPs_used	Negative_numerator_SNPs	Sum_numerator	Sum_denominator	Jackknife_blocks
primary	Cypriot	Druze	0.010573353550106728	0.000630575347051163	0.00933742586988645	0.011809281230327007	178630	96123	558.7934366710471	52849.21515420305	22
primary	Cypriot	Greek	0.003075699829226738	0.000568926307151049	0.001960604267210682	0.004190795391242794	171161	107273	161.2925571810846	52440.92926377512	22
primary	Cypriot	Italian_Bergamo	0.016437300815807507	0.000590342068768855	0.01528023036102055	0.01759437127059446	166914	93852	860.814812323981	52369.59656394122	22
primary	Cypriot	Italian_Central	0.0034979684672722926	0.0005437203550259827	0.0024322765714213665	0.004563660363123219	169851	99314	183.60273789620962	52488.391366026975	22
primary	Cypriot	Italian_North	0.004787790610269007	0.0006585824960928894	0.003496968917926944	0.0060786123026110705	170825	106736	251.13616630698453	52453.456458254375	22
primary	Cypriot	Italian_South	0.0033587026361197245	0.00048392227916396806	0.002410214968958347	0.004307190303281102	173194	107073	176.32769221716362	52498.750654768664	22
primary	Cypriot	Italian_Tuscan	0.02059031444068894	0.0005859926933172396	0.01944176876178715	0.02173886011959073	161566	89982	1081.32693406899	52516.290471609216	22
primary	Cypriot	Jew_Ashkenazi	0.006622874078342364	0.0008251828028187241	0.005005515784817664	0.008240232371867063	160535	110771	349.39572122306413	52755.90583333486	22
primary	Cypriot	Jew_Iraqi	0.023952912212889685	0.0011051264025500967	0.021786864463891494	0.026118959961887876	158304	90515	1264.748044594468	52801.43113094508	22
primary	Cypriot	Jew_Turkish	0.0026127488013342965	0.0004580330188987467	0.001715004084292753	0.00351049351837584	163020	98519	137.78583548402406	52735.96735118916	22
primary	Cypriot	Jew_Yemenite	0.02303142323190936	0.0007857788357506351	0.021491296713838114	0.024571549749980603	162882	86349	1224.7926228061383	53179.19828372674	22
primary	Cypriot	Lebanese	0.00401041190996661	0.0006787533683562094	0.0026800553079884396	0.005340768511944781	164198	97932	213.08785381294032	53133.65773809365	22
primary	Cypriot	Lebanese_Christian	0.0030460991753935214	0.000517594787205242	0.002031613392471247	0.0040605849583157955	163770	97359	160.48951142262038	52686.89631613421	22
primary	Cypriot	Lebanese_Muslim	0.0027207974347097674	0.0004690840987105646	0.0018013926012370608	0.003640202268182474	168024	112212	144.13136356248003	52973.94128786174	22
primary	Cypriot	Maltese	0.0045762498470542975	0.0006257666177970693	0.003349747276172042	0.005802752417936553	162977	97819	241.60290896612184	52794.95592261862	22
primary	Cypriot	Palestinian	0.009128251491334472	0.0005019628808352953	0.008144404244897293	0.010112098737771651	182072	97613	487.6210127301736	53418.88456875629	22
primary	Cypriot	Sicilian	0.0029992981952993675	0.0005749537653451331	0.0018723888152229065	0.004126207575375828	166610	111814	157.89177766829087	52642.90756942602	22
primary	Druze	Greek	0.011796053630412886	0.00026420764724913756	0.011278206641804577	0.012313900619021195	180752	95293	622.5041871888832	52772.241182756836	22
primary	Druze	Italian_Bergamo	0.026150082782672848	0.00032067325961159123	0.02552156319383413	0.026778602371511567	180154	71271	1379.6397113033684	52758.52175188995	22
primary	Druze	Italian_Central	0.011774918729357813	0.0002634051190848204	0.011258644695951565	0.01229119276276406	180521	96138	621.6752522838755	52796.56416938861	22
primary	Druze	Italian_North	0.013921033891626558	0.00021215113854780734	0.013505217660072856	0.014336850123180261	180760	92743	735.1357818602495	52807.55636278068	22
