Panel	Population	PLINK_cluster_code	N_samples
primary	Cypriot	P001	5
primary	Druze	P002	83
primary	Greek	P003	19
primary	Italian_Bergamo	P004	26
primary	Italian_Central	P005	16
primary	Italian_North	P006	19
primary	Italian_South	P007	22
primary	Italian_Tuscan	P008	16
primary	Jew_Ashkenazi	P009	7
primary	Jew_Iraqi	P010	8
primary	Jew_Turkish	P011	8
primary	Jew_Yemenite	P012	10
primary	Lebanese	P013	8
primary	Lebanese_Christian	P014	9
primary	Lebanese_Muslim	P015	11
primary	Maltese	P016	8
primary	Palestinian	P017	83
primary	Sicilian	P018	11
