Comparator	Primary_rank	Strict_rank	Strict_minus_primary_rank	Primary_Hudson_FST	Strict_Hudson_FST	Strict_minus_primary_FST	Absolute_FST_change	Primary_SE	Strict_SE
Jew_Turkish	1	1	0	0.004393095186199773	0.004393095186199773	0.0	0.0	0.00043400160853939525	0.00043400160853939525
Sicilian	2	2	0	0.005083613921845823	0.005083613921845823	0.0	0.0	0.000548805634871385	0.000548805634871385
Italian_Central	3	3	0	0.005127579439857978	0.005127579439857978	0.0	0.0	0.00040752852846596944	0.00040752852846596944
Italian_South	4	4	0	0.005640459927977246	0.005640459927977246	0.0	0.0	0.000417708617853299	0.000417708617853299
Greek	5	5	0	0.005653984190853242	0.0058121029778542225	0.0001581187870009805	0.0001581187870009805	0.0004499911523023339	0.00042361909737698345
Italian_North	6	6	0	0.005941811275323208	0.005941811275323208	0.0	0.0	0.0004868466291754956	0.0004868466291754956
Lebanese_Muslim	7	7	0	0.006103783828964277	0.006103783828964277	0.0	0.0	0.0005389445178244036	0.0005389445178244036
Cypriot	8	9	1	0.006622874078342364	0.006622874078342364	0.0	0.0	0.0008251828028187241	0.0008251828028187241
Maltese	9	10	1	0.006646429101864536	0.006646429101864536	0.0	0.0	0.0004999964801577591	0.0004999964801577591
Lebanese_Christian	10	11	1	0.006783166123863392	0.006783166123863392	0.0	0.0	0.0005883730102006838	0.0005883730102006838
Lebanese	11	13	2	0.007455562459110745	0.007455562459110745	0.0	0.0	0.0007140118013183199	0.0007140118013183199
Palestinian	12	14	2	0.01320502506501451	0.010381576084034939	-0.002823448980979571	0.002823448980979571	0.0004221987181431555	0.0004563986525305552
Druze	13	16	3	0.01435070093200131	0.011308847559640666	-0.0030418533723606447	0.0030418533723606447	0.00030154897167431274	0.0003109914938550891
Italian_Bergamo	14	12	-2	0.018275620304141205	0.007186564369998657	-0.011089055934142548	0.011089055934142548	0.0006042169510826731	0.0005771887313951686
Italian_Tuscan	15	8	-7	0.02239242377304382	0.006450053223902291	-0.01594237054914153	0.01594237054914153	0.0005889993301372412	0.0007132185425619999
Jew_Iraqi	16	15	-1	0.027274481695727718	0.010808698395569694	-0.016465783300158025	0.016465783300158025	0.0006352172940577109	0.0006826528214686569
Jew_Yemenite	17	17	0	0.028354060906368803	0.017798177012750667	-0.010555883893618136	0.010555883893618136	0.00045844129629176984	0.0004121933158230126
