Population_1	Population_2	Primary_Hudson_FST	Strict_Hudson_FST	Strict_minus_primary	Absolute_change	Primary_SE	Strict_SE	Primary_SNPs_used	Strict_SNPs_used
Italian_Tuscan	Jew_Iraqi	0.042986490686885405	0.010435558991561776	-0.03255093169532363	0.03255093169532363	0.0005888031982194437	0.0004387771163041368	163262	160270
Italian_Bergamo	Jew_Iraqi	0.03973203325198626	0.012198871162498633	-0.027533162089487626	0.027533162089487626	0.0008374274141391785	0.0006254180962866656	168157	167365
Italian_Bergamo	Italian_Tuscan	0.029322709305844793	0.0019283574971641023	-0.02739435180868069	0.02739435180868069	0.0003849894793376104	0.0004931793185821298	168496	166258
Jew_Iraqi	Jew_Yemenite	0.041776346565103456	0.014966634620153694	-0.026809711944949764	0.026809711944949764	0.00047381435591547046	0.00044617921793055034	164435	164420
Italian_Tuscan	Jew_Yemenite	0.045101575513799216	0.018783222068659337	-0.02631835344513988	0.02631835344513988	0.0007222316906510424	0.0006259750461087474	167269	164829
Italian_Bergamo	Jew_Yemenite	0.041582207564231165	0.02023590021255526	-0.021346307351675906	0.021346307351675906	0.00046560982909845923	0.000513997812415538	171234	170593
Druze	Jew_Iraqi	0.030070837527227806	0.010508049930358948	-0.019562787596868858	0.019562787596868858	0.0005588939039534013	0.00045150840528572755	178725	178327
Jew_Iraqi	Palestinian	0.028174589606594157	0.009017356837427676	-0.01915723276916648	0.01915723276916648	0.0005911839976176012	0.0005108039372070135	182094	180552
Druze	Italian_Tuscan	0.029211891409632835	0.010165448963909383	-0.01904644244572345	0.01904644244572345	0.00030069902443358854	0.0004245110261588794	179379	178590
Italian_Tuscan	Palestinian	0.02830581536165287	0.009691449666772817	-0.01861436569488005	0.01861436569488005	0.00034910840809323834	0.0005194616123913761	182499	180795
Cypriot	Jew_Iraqi	0.023952912212889685	0.0072430666899478535	-0.01670984552294183	0.01670984552294183	0.0011051264025500967	0.0010712279010674387	158304	158298
Jew_Iraqi	Maltese	0.026538754706271702	0.009883599873443644	-0.01665515483282806	0.01665515483282806	0.0005149371107484645	0.0005330885466420808	164557	164555
Jew_Iraqi	Jew_Turkish	0.02443332503702394	0.0077959396697933215	-0.01663738536723062	0.01663738536723062	0.0005058321876851551	0.0005257003188462716	164520	164517
Italian_South	Jew_Iraqi	0.025703147071126475	0.009219409046907046	-0.01648373802421943	0.01648373802421943	0.0006944849280635366	0.0005991252267310103	173783	173783
Italian_Central	Jew_Iraqi	0.025571780596036788	0.009089620914570943	-0.016482159681465845	0.016482159681465845	0.000599698153802519	0.0005614006924744246	170813	170812
Italian_North	Jew_Iraqi	0.02806873416606218	0.011587009159585195	-0.016481725006476985	0.016481725006476985	0.0006543034996443929	0.0006246244606858297	171595	171594
Jew_Ashkenazi	Jew_Iraqi	0.027274481695727718	0.010808698395569694	-0.016465783300158025	0.016465783300158025	0.0006352172940577109	0.0006826528214686569	162380	162373
Jew_Iraqi	Lebanese	0.023612212029572505	0.007148113942726165	-0.01646409808684634	0.01646409808684634	0.00088247074476805	0.0008037798455265516	165664	165662
Jew_Iraqi	Sicilian	0.02501277532074681	0.008554913806264622	-0.016457861514482187	0.016457861514482187	0.0007644236006039556	0.0006844924559587873	167821	167818
Jew_Iraqi	Lebanese_Muslim	0.022098878996256583	0.005671225376891342	-0.01642765361936524	0.01642765361936524	0.0006905061608033204	0.0006470134748818353	168996	168995
Greek	Jew_Iraqi	0.02584486583175074	0.009427262687969333	-0.016417603143781406	0.016417603143781406	0.0007221832957479245	0.0005806794940688469	171904	171480
Italian_Tuscan	Lebanese_Christian	0.02158099861154616	0.005196777862763018	-0.016384220748783145	0.016384220748783145	0.0005647115628141875	0.0006230336416527697	167122	165055
Jew_Iraqi	Lebanese_Christian	0.02184981261315806	0.005585891490830263	-0.016263921122327794	0.016263921122327794	0.0005863220077268595	0.0005222094461844101	165129	165126
Italian_Tuscan	Maltese	0.019839925553646696	0.0036718901220557155	-0.01616803543159098	0.01616803543159098	0.0005767201098557547	0.0006345480370784442	166448	164105
Italian_North	Italian_Tuscan	0.017222531167261683	0.0010734377566134323	-0.01614909341064825	0.01614909341064825	0.00041265611705423383	0.0003832627915429586	171731	170780
Italian_South	Italian_Tuscan	0.018532060957935994	0.0024435579608237633	-0.01608850299711223	0.01608850299711223	0.0004331413113644273	0.0005498252629844312	174145	173366
Italian_Central	Italian_Tuscan	0.0166427737633071	0.000555191901784031	-0.016087581861523072	0.016087581861523072	0.00035945047705752395	0.0003933579842078134	171071	169980
Greek	Italian_Tuscan	0.017714050811929127	0.0016312919128207096	-0.016082758899108415	0.016082758899108415	0.0004865708535411145	0.000588449068601629	172276	170837
Italian_Tuscan	Sicilian	0.017462271136775367	0.0013985613571984672	-0.0160637097795769	0.0160637097795769	0.0004033767244823164	0.0005150524887893459	168841	167214
Cypriot	Italian_Tuscan	0.02059031444068894	0.004583811491238993	-0.016006502949449945	0.016006502949449945	0.0005859926933172396	0.0005770678277005831	161566	158080
Italian_Tuscan	Jew_Ashkenazi	0.02239242377304382	0.006450053223902291	-0.01594237054914153	0.01594237054914153	0.0005889993301372412	0.0007132185425619999	164531	161870
Italian_Tuscan	Lebanese_Muslim	0.020900043411370663	0.00498833015553035	-0.015911713255840315	0.015911713255840315	0.0004224640988553647	0.0005048062135544986	170579	169061
Italian_Tuscan	Jew_Turkish	0.01950688432712033	0.0036287845152865052	-0.015878099811833826	0.015878099811833826	0.0006351824237673767	0.0007290665101511781	166402	164182
Italian_Tuscan	Lebanese	0.02269740393961517	0.006953617104704041	-0.01574378683491113	0.01574378683491113	0.00048688077827241854	0.0006019251837632767	167802	165680
Druze	Italian_Bergamo	0.026150082782672848	0.011888072768402848	-0.01426201001427	0.01426201001427	0.00032067325961159123	0.00033413381934787977	180154	179728
Italian_Bergamo	Palestinian	0.025185715252036195	0.011307702171536088	-0.013878013080500106	0.013878013080500106	0.00037127343559271764	0.000366485169204836	182915	181767
Druze	Jew_Yemenite	0.0291760281230405	0.015842872286019164	-0.013333155837021337	0.013333155837021337	0.0003746214149292567	0.0003713017092655354	179648	179310
Jew_Yemenite	Palestinian	0.02478559173144424	0.011660802587795437	-0.013124789143648804	0.013124789143648804	0.0003224444056308409	0.000261568778112856	182206	180847
Italian_Bergamo	Italian_Central	0.012621679378548703	0.00136045622604218	-0.011261223152506522	0.011261223152506522	0.0002543248061597965	0.0002632437579062035	173096	172766
Cypriot	Italian_Bergamo	0.016437300815807507	0.005192086441659642	-0.011245214374147865	0.011245214374147865	0.000590342068768855	0.0005891958153586227	166914	166048
Greek	Italian_Bergamo	0.013352455490005603	0.0021158003218546585	-0.011236655168150944	0.011236655168150944	0.0001998426644056199	0.00019884651754678955	173816	173201
