Panel	Ashkenazi_population	Comparator	Rank_nearest_lowest_WC_FST	PLINK_Weir_Cockerham_weighted_FST	PLINK_Weir_Cockerham_mean_FST	Per_variant_rows	Ashkenazi_N	Comparator_N	PLINK_log	PLINK_fst_file
strict_pass	Jew_Ashkenazi	Jew_Turkish	1	0.00425547	-8.1043e-05	184385	7	8	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Jew_Turkish.log	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Jew_Turkish.fst
strict_pass	Jew_Ashkenazi	Sicilian	2	0.00485132	0.00103185	184385	7	11	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Sicilian.log	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Sicilian.fst
strict_pass	Jew_Ashkenazi	Italian_Central	3	0.00535376	0.00201863	184385	7	16	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Italian_Central.log	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Italian_Central.fst
strict_pass	Jew_Ashkenazi	Lebanese_Muslim	4	0.00543044	0.00129676	184385	7	11	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Lebanese_Muslim.log	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Lebanese_Muslim.fst
strict_pass	Jew_Ashkenazi	Italian_South	5	0.00564799	0.0023621	184385	7	22	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Italian_South.log	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Italian_South.fst
strict_pass	Jew_Ashkenazi	Lebanese	6	0.00567166	0.000950273	184385	7	8	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Lebanese.log	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Lebanese.fst
strict_pass	Jew_Ashkenazi	Greek	7	0.00582144	0.00245039	184385	7	18	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Greek.log	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Greek.fst
strict_pass	Jew_Ashkenazi	Italian_North	8	0.00594655	0.00285829	184385	7	19	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Italian_North.log	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Italian_North.fst
strict_pass	Jew_Ashkenazi	Cypriot	9	0.00628483	-0.000474611	184385	7	5	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Cypriot.log	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Cypriot.fst
strict_pass	Jew_Ashkenazi	Italian_Tuscan	10	0.00648374	0.000699569	184385	7	6	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Italian_Tuscan.log	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Italian_Tuscan.fst
strict_pass	Jew_Ashkenazi	Maltese	11	0.00688897	0.00205642	184385	7	8	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Maltese.log	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Maltese.fst
strict_pass	Jew_Ashkenazi	Lebanese_Christian	12	0.00689506	0.00229889	184385	7	9	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Lebanese_Christian.log	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Lebanese_Christian.fst
strict_pass	Jew_Ashkenazi	Italian_Bergamo	13	0.00735577	0.00347679	184385	7	12	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Italian_Bergamo.log	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Italian_Bergamo.fst
strict_pass	Jew_Ashkenazi	Palestinian	14	0.00924054	0.00470086	184385	7	34	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Palestinian.log	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Palestinian.fst
strict_pass	Jew_Ashkenazi	Jew_Iraqi	15	0.0104533	0.00355599	184385	7	6	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Jew_Iraqi.log	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Jew_Iraqi.fst
strict_pass	Jew_Ashkenazi	Druze	16	0.0105716	0.00708403	184385	7	39	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Druze.log	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Druze.fst
strict_pass	Jew_Ashkenazi	Jew_Yemenite	17	0.0170273	0.00997263	184385	7	8	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Jew_Yemenite.log	results/fst/weir_cockerham_validation/strict_pass/Jew_Ashkenazi__Jew_Yemenite.fst
