Panel	Population	PLINK_cluster_code	N_samples
strict_pass	Cypriot	P001	5
strict_pass	Druze	P002	39
strict_pass	Greek	P003	18
strict_pass	Italian_Bergamo	P004	12
strict_pass	Italian_Central	P005	16
strict_pass	Italian_North	P006	19
strict_pass	Italian_South	P007	22
strict_pass	Italian_Tuscan	P008	6
strict_pass	Jew_Ashkenazi	P009	7
strict_pass	Jew_Iraqi	P010	6
strict_pass	Jew_Turkish	P011	8
strict_pass	Jew_Yemenite	P012	8
strict_pass	Lebanese	P013	8
strict_pass	Lebanese_Christian	P014	9
strict_pass	Lebanese_Muslim	P015	11
strict_pass	Maltese	P016	8
strict_pass	Palestinian	P017	34
strict_pass	Sicilian	P018	11
