FID	IID	Population	Original_Group	Locality	Assessment	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
1	CYP19.HO	Cypriot	Cypriot	Nicosia	Pass	-0.0076058500	-0.0149127000	-0.0038158100	0.0003806480	0.0012291400	0.0065949700	-0.0011564900	0.0010629300	-0.0111533000	-0.0028417900	0.0022517700	-0.0009714200	0.0072215700	0.0068132700	0.0031200500	0.0070869500	-0.0079051400	-0.0049915900	-0.0001973780	-0.0062761900
2	CYP2.HO	Cypriot	Cypriot	Nicosia	Pass	-0.0011440100	-0.0145398000	-0.0004154060	-0.0007198610	0.0004563760	0.0027510500	-0.0069140600	-0.0019028300	-0.0060462800	-0.0096239200	-0.0072741700	-0.0055078400	0.0009811240	-0.0033136900	-0.0052493700	0.0051560000	-0.0027444800	0.0006724190	-0.0006950160	0.0046836100
3	CYP5.HO	Cypriot	Cypriot	Nicosia	Pass	-0.0045727100	-0.0096797700	0.0019079800	0.0081459500	-0.0000745289	0.0086038700	-0.0046440400	-0.0022608300	-0.0116015000	-0.0043643600	0.0041713800	-0.0082236800	0.0030811800	-0.0066394100	0.0011992800	0.0117793000	-0.0051932400	-0.0023478300	0.0057582000	0.0052622300
4	Cyprus22AJ19.HO	Cypriot	Cypriot	Nicosia	Pass	-0.0092650800	-0.0135275000	-0.0007165120	0.0002833500	0.0049829200	-0.0009070770	-0.0074041000	-0.0033284200	-0.0112534000	-0.0065019000	-0.0034094100	-0.0083807300	0.0005207170	0.0003309860	-0.0069239800	0.0025328700	-0.0032282100	0.0016993800	-0.0030235300	-0.0056082500
5	Cyprus24AJ19.HO	Cypriot	Cypriot	Nicosia	Pass	-0.0096646300	-0.0153331000	0.0021863800	0.0049559000	-0.0016988900	0.0012910600	-0.0055983500	0.0022549000	-0.0095221300	-0.0000188773	0.0037432100	0.0016940500	-0.0061238100	0.0036334100	-0.0001970840	0.0085103000	0.0003749060	-0.0016084700	0.0002048480	0.0069843800
6	HGDP00557.DG	Druze	Druze	Israel, modern 1	PROVISIONAL_PASS	-0.0456645000	0.0849617000	0.0059759100	0.0046888200	-0.0085038600	-0.0385369000	0.0040299800	0.0258864000	-0.0380719000	0.1654870000	-0.0027347800	0.0084663200	-0.0235156000	-0.0157258000	0.0207812000	0.0245401000	-0.0474318000	0.1098770000	-0.0665262000	0.1050890000
7	HGDP00557.HO	Druze	Druze	Israel, modern 1	Pass	-0.0457375000	0.0849009000	0.0058259500	0.0048379000	-0.0085443500	-0.0386399000	0.0042390200	0.0260554000	-0.0380778000	0.1653400000	-0.0025354300	0.0084640200	-0.0232878000	-0.0158431000	0.0205818000	0.0244032000	-0.0474358000	0.1097400000	-0.0665678000	0.1050320000
8	HGDP00558.DG	Druze	Druze	Israel, modern 1	PROVISIONAL_PASS	-0.0697467000	0.1249540000	0.0080290100	-0.0013728900	-0.0084780900	-0.0634917000	-0.0079642500	0.0099090100	0.0016065400	0.0713334000	-0.0261402000	0.0399783000	-0.0086350600	-0.0214204000	0.0492266000	0.0244892000	-0.0381474000	0.1109390000	0.0066278900	-0.0604059000
9	HGDP00558.HO	Druze	Druze	Israel, modern 1	Pass	-0.0698043000	0.1249710000	0.0081029500	-0.0014427900	-0.0084442300	-0.0637824000	-0.0080415400	0.0101116000	0.0016474600	0.0711963000	-0.0258827000	0.0399873000	-0.0086758100	-0.0206310000	0.0492199000	0.0246318000	-0.0383411000	0.1107720000	0.0066204300	-0.0603194000
10	HGDP00559.DG	Druze	Druze	Israel, modern 1	PROVISIONAL_PASS	-0.0408377000	0.0695397000	-0.0047736900	-0.0034361900	-0.0152470000	0.0181982000	0.0228865000	0.0013814200	-0.0083248100	0.0134422000	-0.0002988230	-0.0477257000	0.0087683700	0.0068450700	-0.0535758000	-0.0030210400	0.0686136000	-0.0999724000	0.0393614000	0.1681080000
11	HGDP00559.HO	Druze	Druze	Israel, modern 1	Pass	-0.0406066000	0.0697312000	-0.0047201000	-0.0031933600	-0.0150688000	0.0183785000	0.0229070000	0.0013373800	-0.0082986400	0.0135509000	-0.0000559849	-0.0479804000	0.0088837100	0.0070907200	-0.0537901000	-0.0030345900	0.0686061000	-0.0999782000	0.0394269000	0.1680160000
