Population	N	Euclidean_Distance
Maltese	8	0.0056526600
Sicilian	11	0.0087353046
Italian_South	22	0.0103367964
Jew_Turkish	8	0.0106736196
Cypriot	5	0.0151874593
Greek	19	0.0180271524
Italian_Central	16	0.0188026001
Lebanese_Christian	9	0.0261787754
Jew_Iraqi	8	0.0300800107
Lebanese_Muslim	11	0.0302783404
Italian_North	19	0.0306475133
Lebanese	8	0.0354006029
Italian_Tuscan	16	0.0621651471
Jew_Yemenite	10	0.0832091834
Italian_Bergamo	26	0.1026089823
Palestinian	83	0.1055153359
Druze	83	0.1084379944
