Population	N	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
Cypriot	5	-0.0064504560	-0.0135985740	-0.0001706736	0.0026091974	0.0009790034	0.0036667746	-0.0051434080	-0.0008348500	-0.0099153220	-0.0046701695
Druze	83	-0.0409897402	0.0714549399	0.0009841751	-0.0022444490	0.0120833069	-0.0065391624	0.0122145048	-0.0012363000	0.0018968078	0.0110191205
Greek	19	-0.0204609632	-0.0348014000	0.0053954782	0.0009090975	-0.0048782058	-0.0020141927	0.0031821728	-0.0000624413	-0.0193420053	-0.0074998804
Italian_Bergamo	26	-0.0428445423	-0.0846134654	0.0193662400	-0.0038335823	-0.0202119588	-0.0290864327	0.0282836742	0.0050552873	0.0407597885	0.0091671165
Italian_Central	16	-0.0202343438	-0.0362139000	0.0049332086	0.0022811826	-0.0050959652	-0.0021013817	0.0038557695	0.0001223574	-0.0196376250	-0.0081760250
Italian_North	19	-0.0267047053	-0.0451520105	0.0088154037	0.0013263996	-0.0069893393	-0.0056768099	0.0055013208	0.0013738471	-0.0201642947	-0.0110700105
Italian_South	22	-0.0160992682	-0.0295256545	0.0040347758	0.0002309381	-0.0026834194	-0.0005813309	-0.0008739814	-0.0012946067	-0.0171325150	-0.0056221422
Italian_Tuscan	16	-0.0326599813	-0.0618912938	0.0141907719	0.0015172652	-0.0103852949	-0.0043901429	0.0132860406	-0.0045931601	-0.0474356625	-0.0254461375
Jew_Ashkenazi	7	-0.0097441414	-0.0269934857	0.0023809359	0.0042779333	0.0002649814	0.0019884447	-0.0044797331	0.0012300646	-0.0146299757	-0.0055826343
Jew_Iraqi	8	0.0024956109	-0.0048915450	-0.0066655975	-0.0001395524	0.0000037216	0.0095365337	-0.0135532813	-0.0016173050	-0.0141340638	-0.0014087687
Jew_Turkish	8	-0.0076824750	-0.0188567875	-0.0011303740	0.0021853764	0.0004553006	0.0054305613	-0.0055264137	-0.0001452173	-0.0113152500	-0.0046323700
Jew_Yemenite	10	0.0309172400	0.0183877590	-0.0136975980	0.0073325190	0.0136594300	0.0332462800	-0.0405102100	-0.0034515331	0.0044676981	0.0045077503
Lebanese	8	0.0065237334	-0.0006861206	-0.0054325263	0.0015941156	0.0019171125	0.0083645863	-0.0140762511	-0.0025304975	-0.0066193513	-0.0017828184
Lebanese_Christian	9	0.0019122437	-0.0065958944	-0.0039870960	0.0018572649	0.0032255045	0.0065029989	-0.0076574800	-0.0003595489	-0.0084620444	-0.0029050320
Lebanese_Muslim	11	0.0039534687	-0.0046731372	-0.0042313073	0.0011967642	0.0023963977	0.0094036073	-0.0105517618	-0.0009509238	-0.0067020007	-0.0018767672
Maltese	8	-0.0108718400	-0.0251297250	-0.0004353204	0.0042999342	-0.0016042104	0.0030400204	-0.0027777938	0.0020323424	-0.0173024875	-0.0035843305
Palestinian	83	0.0792064699	0.0111443013	-0.0118841871	-0.0004001745	-0.0014879248	0.0099367310	-0.0146181253	0.0012986806	0.0218052265	0.0011137843
Sicilian	11	-0.0138869327	-0.0307605273	0.0043531734	0.0000272864	-0.0020703585	-0.0000028965	-0.0013617438	-0.0000143842	-0.0156407727	-0.0067153439
