PC	Eigenvalue	Variance_Percent	Cumulative_Percent
1	4.0431200000	7.289037	7.289037
2	3.8175300000	6.882337	14.171374
3	3.3103300000	5.967945	20.139319
4	3.1497500000	5.678447	25.817766
5	3.0947700000	5.579328	31.397094
6	3.0212100000	5.446712	36.843806
7	2.9795700000	5.371642	42.215448
8	2.8233700000	5.090041	47.305489
9	2.7126000000	4.890342	52.195831
10	2.6552600000	4.786968	56.982800
11	2.5559800000	4.607984	61.590784
12	2.5057800000	4.517482	66.108266
13	2.4723000000	4.457124	70.565389
14	2.3865000000	4.302441	74.867830
15	2.3817500000	4.293878	79.161708
16	2.3547700000	4.245238	83.406946
17	2.3183700000	4.179615	87.586560
18	2.3111400000	4.166580	91.753141
19	2.2942900000	4.136203	95.889343
20	2.2801200000	4.110657	100.000000
