FID	IID	Population	Original_Group	Locality	Assessment	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
1	CYP19.HO	Cypriot	Cypriot	Nicosia	Pass	-0.0071417600	0.0040449600	-0.0185690000	0.0238267000	0.0042149800	0.0072348600	0.0060787400	0.0143722000	0.0266930000	-0.0111433000	-0.0310586000	-0.0525302000	-0.0480275000	-0.0077128300	-0.0459180000	0.0489318000	-0.0328831000	0.0095928400	0.0038470400	0.0273296000
2	CYP2.HO	Cypriot	Cypriot	Nicosia	Pass	-0.0006986260	0.0141836000	-0.0195690000	0.0007980240	0.0011970800	-0.0221894000	0.0131306000	-0.0283973000	0.0004310170	-0.0055711900	-0.0021488900	-0.0286836000	0.0098927500	0.0054685800	0.0074914400	0.0012822300	-0.0133564000	-0.0140121000	-0.0009720230	-0.0080643400
3	CYP5.HO	Cypriot	Cypriot	Nicosia	Pass	0.0014702700	0.0054470100	-0.0273420000	0.0204779000	0.0043397400	0.0043266300	0.0040560800	-0.0012965400	0.0337242000	0.0099699800	0.0105253000	-0.0506399000	-0.0375390000	-0.0005336020	0.0250976000	-0.0251952000	0.0179350000	0.0223969000	0.0074216100	-0.0137721000
4	Cyprus22AJ19.HO	Cypriot	Cypriot	Nicosia	Pass	-0.0093286000	0.0009676670	-0.0084468200	0.0237679000	0.0126917000	-0.0060500100	0.0123306000	-0.0193325000	0.0219295000	-0.0047042200	-0.0123679000	0.0011733300	0.0320643000	-0.0152674000	0.0142449000	-0.0141880000	-0.0032364200	0.0046659100	0.0078753600	-0.0343758000
5	Cyprus24AJ19.HO	Cypriot	Cypriot	Nicosia	Pass	-0.0127971000	-0.0029623500	0.0055021300	0.0145365000	0.0012217700	0.0157517000	-0.0247577000	-0.0085818300	-0.0023629800	0.0119051000	0.0013366500	-0.0164368000	-0.0168428000	-0.0152051000	-0.0276540000	0.0029328900	-0.0119418000	-0.0425727000	-0.0057934600	0.0156848000
6	HGDP00557.HO	Druze	Druze	Israel, modern 1	Pass	0.0663928000	-0.1435460000	0.0314094000	-0.0344829000	-0.0173944000	0.2295370000	0.0162446000	0.0189340000	-0.0443969000	-0.0155854000	0.0211654000	0.0278378000	0.0115984000	-0.0501365000	-0.0489981000	-0.0957951000	0.0303782000	-0.1873760000	-0.0205635000	0.0578821000
7	HGDP00558.HO	Druze	Druze	Israel, modern 1	Pass	0.0818825000	-0.1913690000	0.0331438000	-0.0472692000	0.0099589500	0.1027330000	0.0166981000	0.0161867000	-0.0746354000	0.0043045300	0.0186695000	0.0504821000	0.0015661300	-0.1129970000	0.0436509000	-0.0026954200	0.0717395000	-0.0507165000	-0.0138548000	-0.1147570000
8	HGDP00559.HO	Druze	Druze	Israel, modern 1	Pass	0.0577045000	-0.1133130000	0.0074376600	0.0005663110	-0.0079075300	0.0166145000	0.0022380100	-0.0467035000	0.0702382000	0.0030395800	-0.0087840400	-0.0732247000	0.0069376000	0.1369340000	-0.1129190000	-0.0647698000	-0.0143726000	-0.0519522000	0.0348054000	0.2388340000
9	HGDP00560.HO	Druze	Druze	Israel, modern 1	Pass	0.0688417000	-0.1552910000	0.0070874400	-0.0366276000	-0.0063883500	-0.0122128000	0.0094537900	-0.0004783280	-0.0223628000	0.0345273000	0.0485567000	0.0378770000	-0.0244282000	-0.0251373000	0.0045046700	0.0005147270	0.0311603000	-0.0621009000	0.0173916000	-0.0301105000
10	HGDP00561.HO	Druze	Druze	Israel, modern 1	Pass	0.0453569000	-0.0772957000	-0.0046817700	-0.0022833600	0.0057882000	-0.0087291900	-0.0182175000	-0.0363432000	0.0120747000	-0.0133774000	0.0117809000	-0.0399680000	0.0352541000	0.0331045000	-0.0241510000	0.0041048000	0.0160546000	0.0156756000	0.0366098000	0.0703355000
