Population	N	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
Cypriot	5	-0.0056991632	0.0043361774	-0.0136849380	0.0166814048	0.0047330540	-0.0001852440	0.0021676640	-0.0086471940	0.0160829474	0.0000912740
Druze	39	0.0583054462	-0.1139812290	0.0087055922	-0.0128271143	-0.0015483266	0.0109637894	-0.0005300712	-0.0060860710	0.0009999093	-0.0028911403
Greek	18	-0.0607470444	0.0009797318	-0.0067191261	-0.0194029211	0.0073982850	0.0007003117	0.0061525944	0.0042927325	-0.0031029006	0.0024720249
Italian_Bergamo	12	-0.0824849417	0.0060717645	-0.0056526989	-0.0320685083	0.0157771867	-0.0011472189	0.0076932725	0.0112936130	-0.0165079233	0.0066972350
Italian_Central	16	-0.0588849063	0.0026451790	-0.0091770556	-0.0166807469	0.0125786144	-0.0002209001	0.0036586887	0.0109051481	-0.0062585844	0.0065246654
Italian_North	19	-0.0805374789	0.0005824532	-0.0030716724	-0.0240089926	0.0139755147	-0.0071914471	0.0074010274	0.0133793811	-0.0215429563	0.0166304179
Italian_South	22	-0.0460027000	0.0036872702	0.0478965055	0.0231853059	-0.0548383290	-0.0070712031	0.0059591036	0.0043835802	-0.0080994703	-0.0052915096
Italian_Tuscan	6	-0.0703418500	0.0055090767	-0.0095264617	-0.0285381167	0.0173608267	-0.0028340433	-0.0088754567	0.0031001967	-0.0106027350	0.0055237183
Jew_Ashkenazi	7	-0.0311865571	0.0147653286	-0.0101970600	0.0111673843	0.0007048814	0.0031764400	-0.0016910994	-0.0231934729	-0.0001032414	0.0110403457
Jew_Iraqi	6	0.0255966000	0.0114152550	-0.0289225333	0.0360152167	0.0043066118	0.0062524817	0.0087374762	-0.0237795250	0.0278838500	-0.0336732250
Jew_Turkish	8	-0.0133972400	0.0091318623	-0.0208609250	0.0154331430	0.0001305462	0.0007535311	-0.0025616824	-0.0031945525	0.0234842500	0.0051636538
Jew_Yemenite	8	0.0981263875	0.0470877750	-0.0828037125	0.1845555000	0.0121046588	-0.0118062304	0.1540337500	0.0976579750	-0.1003121125	0.0717748750
Lebanese	8	0.0366503000	0.0154109125	-0.0136419775	0.0494379625	0.0097603125	0.0020007475	-0.0137658537	-0.0528987625	0.0355834850	-0.0372978875
Lebanese_Christian	9	0.0187087667	0.0130397022	-0.0165862333	0.0358461111	0.0067563478	0.0009161700	-0.0040563971	-0.0194802037	0.0244212433	-0.0181976767
Lebanese_Muslim	11	0.0256682364	0.0146088636	-0.0190576855	0.0406046091	0.0050439323	0.0021237761	-0.0105638973	-0.0222229204	0.0468644000	-0.0282857373
Maltese	8	-0.0300138875	0.0095502291	-0.0168887088	0.0072723712	0.0115325163	0.0172657787	-0.0111478281	-0.0052656312	0.0182340425	0.0105582500
Palestinian	34	0.0904594118	0.0870560294	0.0271369499	-0.0468610644	-0.0057238441	-0.0077374681	-0.0408182421	-0.0033076115	0.0054568850	-0.0047423732
Sicilian	11	-0.0408842727	0.0095699891	-0.0109088918	0.0010949002	0.0118225050	-0.0005588482	0.0015215050	0.0064344163	-0.0015438100	0.0008544609
