PC	Eigenvalue	Variance_Percent	Cumulative_Percent
1	2.2453800000	8.244259	8.244259
2	1.9255700000	7.070027	15.314286
3	1.5098100000	5.543500	20.857787
4	1.4938900000	5.485048	26.342834
5	1.4207400000	5.216466	31.559300
6	1.3612500000	4.998039	36.557339
7	1.3368100000	4.908304	41.465644
8	1.2934800000	4.749211	46.214855
9	1.2807800000	4.702581	50.917436
10	1.2740300000	4.677798	55.595234
11	1.2373200000	4.543011	60.138245
12	1.2334100000	4.528655	64.666900
13	1.2277800000	4.507984	69.174884
14	1.2211000000	4.483457	73.658341
15	1.2120900000	4.450375	78.108716
16	1.2040800000	4.420965	82.529682
17	1.1974500000	4.396622	86.926304
18	1.1924400000	4.378227	91.304531
19	1.1874000000	4.359722	95.664254
20	1.1808700000	4.335746	100.000000
