Population	N	Mean_RMSD	Median_RMSD	Maximum_RMSD
Jew_Yemenite	8	0.0959251598	0.0883921045	0.1447244008
Palestinian	34	0.0772053899	0.0667530935	0.1857741485
Italian_South	22	0.0508825781	0.0142395841	0.2179999980
Italian_Bergamo	12	0.0442075791	0.0208248027	0.1717942439
Druze	39	0.0345671080	0.0291061116	0.1735100288
Lebanese	8	0.0331921623	0.0249825421	0.0635248738
Lebanese_Muslim	11	0.0259853973	0.0244094653	0.0395100492
Jew_Iraqi	6	0.0217041377	0.0208756242	0.0265337101
Italian_Tuscan	6	0.0212046287	0.0224550946	0.0243375486
Italian_North	19	0.0184848920	0.0186976283	0.0239950921
Lebanese_Christian	9	0.0177308760	0.0185287137	0.0205311216
Greek	18	0.0155894921	0.0155931573	0.0228492026
Jew_Turkish	8	0.0153358249	0.0152700651	0.0231739128
Italian_Central	16	0.0148929440	0.0144152459	0.0192536620
Jew_Ashkenazi	7	0.0147740394	0.0148515767	0.0198281394
Maltese	8	0.0145453072	0.0147189297	0.0175415814
Sicilian	11	0.0137309004	0.0138287837	0.0211896473
Cypriot	5	0.0124367594	0.0133154171	0.0138798888
