IID	Population	RMSD	Aligned_PC1	Aligned_PC2	Aligned_PC3	Aligned_PC4	Aligned_PC5	Aligned_PC6	Aligned_PC7	Aligned_PC8	Aligned_PC9	Aligned_PC10
ALP108.HO	Italian_North	0.0193567673	-0.0467317762	-0.0773492340	0.0404153307	0.0147235155	-0.0135351478	-0.0137577288	0.0163199181	-0.0029486073	0.0049705942	-0.0062526503
ALP129.HO	Italian_South	0.0170590884	-0.0204185656	-0.0262634121	-0.0269852246	-0.0225634281	0.0053445158	0.0003216215	0.0203250636	0.0042807787	-0.0135423331	-0.0153597605
ALP134.HO	Italian_North	0.0194312293	-0.0463014147	-0.0723589412	0.0462324236	0.0069271250	-0.0271663565	-0.0195552292	0.0302524681	0.0155702222	-0.0001994507	-0.0059582324
ALP156.HO	Italian_North	0.0155013743	-0.0338341129	-0.0700125420	0.0334843234	0.0292206107	-0.0132235262	-0.0137233557	0.0323085577	0.0099534344	-0.0216814941	0.0057278713
ALP202.HO	Italian_North	0.0210216613	-0.0451299093	-0.0713444736	0.0501128347	0.0132297734	-0.0269843640	-0.0319604118	0.0073072410	0.0041678485	0.0039298361	-0.0233205609
ALP211.HO	Italian_North	0.0142376881	-0.0353288526	-0.0672974953	0.0124330193	0.0039675912	-0.0194055612	0.0014865107	0.0220040505	0.0264338774	-0.0085514815	-0.0125457604
ALP277.HO	Italian_North	0.0177663638	-0.0432483819	-0.0678551878	0.0480445926	-0.0156603067	-0.0277326027	-0.0112393804	0.0066012758	0.0093913542	-0.0216904224	-0.0332138744
ALP278.HO	Italian_North	0.0181998705	-0.0437354980	-0.0611857605	0.0428065607	0.0087551526	-0.0346207833	-0.0106512866	-0.0130811831	-0.0026555827	-0.0269845167	-0.0060623004
ALP28.HO	Italian_North	0.0186976283	-0.0423328731	-0.0578606523	0.0543219972	0.0150109708	-0.0260345134	-0.0025573870	0.0127736710	0.0040625783	-0.0241244556	-0.0044447891
ALP342.HO	Italian_North	0.0146694752	-0.0268785192	-0.0665965929	0.0291770920	-0.0084252927	-0.0280297533	-0.0092277506	0.0104909162	0.0085901077	-0.0168373527	-0.0348971070
ALP374.HO	Italian_South	0.0140859649	-0.0258465097	-0.0357609227	0.0346012600	-0.0006138148	-0.0187890081	0.0141861456	0.0158781778	0.0056671161	-0.0229044514	-0.0154200181
ALP392.HO	Italian_North	0.0193152727	-0.0425721806	-0.0662508717	0.0307907918	0.0131609137	0.0092925701	-0.0015185766	0.0129061061	-0.0235618843	0.0112128286	-0.0094157936
ALP481.HO	Italian_North	0.0204091886	-0.0511052245	-0.0748456190	0.0470108317	-0.0051169610	-0.0449279860	-0.0101102983	0.0192216725	-0.0085807089	-0.0080863029	-0.0099509413
ALP533.HO	Italian_North	0.0166762941	-0.0402531514	-0.0731560491	0.0483433699	0.0134048317	-0.0177036251	-0.0090727030	0.0088324647	0.0090758660	-0.0111646730	-0.0076217299
ALP597.HO	Italian_South	0.0101319192	-0.0170683568	-0.0325631412	-0.0047395956	0.0132774259	-0.0014277211	-0.0128411297	0.0078388223	0.0023084478	-0.0097984952	0.0172356718
