integrated_rank	comparator	category	primary_pca_rank	primary_fst_rank	primary_admixture_rank	primary_mean_normalized_rank	primary_rank_sd	primary_admixture_rank_range_supported_K	strict_pass_pca_rank	strict_pass_fst_rank	strict_pass_admixture_rank	strict_pass_mean_normalized_rank	strict_pass_rank_sd	strict_pass_admixture_rank_range_supported_K	cross_panel_mean_normalized_rank	cross_method_panel_rank_sd	primary_strict_mean_rank_shift
1	Sicilian	Central/eastern Mediterranean	2.0	2.0	2.0	0.0625	0.0	0.0	2.0	2.0	2.0	0.0625	0.0	1.0	0.0625	0.0	0.0
2	Jew_Turkish	Jewish comparator	4.0	1.0	4.0	0.125	0.08838834764831845	1.0	4.0	1.0	4.0	0.125	0.08838834764831845	1.0	0.125	0.08838834764831845	0.0
3	Maltese	Central/eastern Mediterranean	1.0	9.0	1.0	0.16666666666666666	0.23570226039551584	0.0	1.0	10.0	1.0	0.1875	0.2651650429449553	0.0	0.17708333333333334	0.25108272485820726	0.020833333333333343
4	Italian_South	Central/eastern Mediterranean	3.0	4.0	3.0	0.14583333333333334	0.02946278254943948	1.0	13.0	4.0	3.0	0.3541666666666667	0.2810570325673342	2.0	0.25	0.22534695471649932	0.20833333333333334
5	Italian_Central	Central/eastern Mediterranean	7.0	3.0	7.0	0.2916666666666667	0.11785113019775792	0.0	6.0	3.0	6.0	0.25	0.08838834764831845	0.0	0.2708333333333333	0.10622957319984969	-0.041666666666666685
6	Greek	Central/eastern Mediterranean	6.0	5.0	6.0	0.2916666666666667	0.02946278254943948	0.0	5.0	5.0	7.0	0.2916666666666667	0.05892556509887896	0.0	0.2916666666666667	0.04658474953124562	0.0
7	Cypriot	Central/eastern Mediterranean	5.0	8.0	5.0	0.3125	0.08838834764831845	0.0	3.0	9.0	5.0	0.2916666666666667	0.15590239111558088	0.0	0.3020833333333333	0.12715162099722607	-0.020833333333333315
8	Italian_North	Central/eastern Mediterranean	11.0	6.0	10.0	0.5	0.13501543121683043	0.0	9.0	6.0	10.0	0.4583333333333333	0.10622957319984969	1.0	0.4791666666666667	0.12325166214790867	-0.041666666666666685
9	Lebanese_Christian	Levantine	8.0	10.0	8.0	0.4791666666666667	0.05892556509887896	0.0	8.0	11.0	9.0	0.5208333333333334	0.07795119555779044	1.0	0.5	0.07216878364870322	0.041666666666666685
10	Lebanese_Muslim	Levantine	10.0	7.0	9.0	0.4791666666666667	0.07795119555779044	0.0	12.0	7.0	12.0	0.5833333333333334	0.14731391274719738	0.0	0.53125	0.1288470508005519	0.10416666666666669
11	Italian_Tuscan	Central/eastern Mediterranean	13.0	15.0	14.0	0.8125	0.05103103630798288	0.0	7.0	8.0	8.0	0.4166666666666667	0.02946278254943948	0.0	0.6145833333333334	0.20225508165570416	-0.3958333333333333
12	Italian_Bergamo	Central/eastern Mediterranean	15.0	14.0	13.0	0.8125	0.05103103630798288	0.0	10.0	12.0	11.0	0.625	0.05103103630798288	0.0	0.71875	0.10673907047874581	-0.1875
13	Lebanese	Levantine	12.0	11.0	11.0	0.6458333333333334	0.02946278254943948	1.0	14.0	13.0	14.0	0.7916666666666666	0.02946278254943948	0.0	0.71875	0.07864410870073697	0.14583333333333326
14	Jew_Iraqi	Jewish comparator	9.0	16.0	12.0	0.7083333333333334	0.17921510973005472	1.0	11.0	15.0	13.0	0.75	0.10206207261596575	0.0	0.7291666666666666	0.1473139127471974	0.04166666666666663
15	Palestinian	Levantine	16.0	12.0	16.0	0.8541666666666666	0.11785113019775792	0.0	16.0	14.0	16.0	0.8958333333333334	0.05892556509887896	1.0	0.875	0.09547032697824667	0.04166666666666674
16	Druze	Levantine	17.0	13.0	17.0	0.9166666666666666	0.11785113019775792	2.0	15.0	16.0	16.0	0.9166666666666666	0.02946278254943948	2.0	0.9166666666666666	0.0858980338670346	0.0
17	Jew_Yemenite	Jewish comparator	14.0	17.0	15.0	0.8958333333333334	0.07795119555779044	2.0	17.0	17.0	17.0	1.0	0.0	2.0	0.9479166666666666	0.07583447801333873	0.10416666666666663
