Source	Nonzero_Regional_Targets	Total_Regional_Targets	Mean	Minimum	Maximum
Druze_Israel_(n=42)	9	10	20.3	0.0	31.8
German_(n=113)	9	10	7.9	0.0	14.0
Greek_Dodecanese_Rhodes_(n=15)	1	10	0.7	0.0	6.6
Italian_Calabria_Reggio_Calabria_(Calabrese)_(n=9)	4	10	5.1	0.0	22.0
Italian_Campania_(Campanian)_(n=14)	2	10	1.3	0.0	9.6
Italian_Lombardy_(Lombard)_(n=10)	6	10	3.8	0.0	10.0
Italian_Sicily_West_(Sicilian)_(n=8)	2	10	2.5	0.0	13.6
Italki_Jew_(n=9)	10	10	38.1	20.4	53.6
Lebanese_Arab_Christian_(n=27)	2	10	1.2	0.0	9.0
Maltese_(n=8)	9	10	10.9	0.0	26.4
Palestinian_Arab_Christian_(n=24)	2	10	1.5	0.0	7.6
Polish_(n=68)	3	10	1.9	0.0	11.0
Russian_Smolensk_(n=15)	6	10	4.2	0.0	12.6
Samaritan_(n=7)	1	10	0.5	0.0	5.4
