Target	Distance	Greek_Dodecanese_Rhodes	Italian_Calabria_Reggio_Calabria	Lebanese_Arab_Christian	Palestinian_Arab_Christian	Samaritan
Israel_CA_Peki'in	0.08170853	0	0	0	0	100
Jordan_EBA_'Ain_Ghazal	0.05709294	0	0	0	0	100
Israel_MBA_Megiddo	0.03073995	0	0	0	0	100
Lebanon_MBA_Sidon	0.01867928	0	0	0	45	55
Israel_MLBA_Megiddo	0.02593162	0	0	0	68	32
Israel_LBA_Megiddo	0.02264710	0	0	0	60.8	39.2
Israel_LBA_Ashkelon	0.02029866	0	0	27.8	4.4	67.8
Jordan_LBA_Baq'ah	0.02769042	0	0	0	55.6	44.4
Jordan_LBA-IA_Baq'ah	0.02690497	0	0	0	34.8	65.2
Israel_IAII_Philistine_Ashkelon	0.03566493	0	0	0	36.2	63.8
Israel_IAII_Phoenician-Achaemenid_Achziv	0.02212520	0	0	0	42.8	57.2
Lebanon_IAIII_Beirut	0.01270125	1.4	9.8	0	78.8	10
