Rank	Source	Distance_to_Ashkenazi_Germany
1	Italian_Calabria_Reggio_Calabria_(Calabrese)_(n=9)	0.0146959910
2	Italki_Jew_(n=9)	0.0158829155
3	Maltese_(n=8)	0.0180145568
4	Italian_Sicily_West_(Sicilian)_(n=8)	0.0197779468
5	Italian_Campania_(Campanian)_(n=14)	0.0202440486
6	Greek_Crete_Heraklion_(n=93)	0.0245596984
7	Greek_Peloponnese_Laconia_Mani_(n=22)	0.0256184086
8	Italian_Apulia_(Apulian)_(n=228)	0.0290429080
9	Greek_Dodecanese_Rhodes_(n=15)	0.0299855387
10	Druze_Israel_(n=42)	0.0533139630
11	Italian_Tuscany_(Tuscan)_(n=138)	0.0542919550
12	Lebanese_Arab_Christian_(n=27)	0.0587549040
13	Palestinian_Arab_Christian_(n=24)	0.0638491014
14	Italian_Lombardy_(Lombard)_(n=10)	0.0699604781
15	Samaritan_(n=7)	0.0752051946
16	German_(n=113)	0.1313682832
17	Polish_(n=68)	0.1585170312
18	Russian_Smolensk_(n=15)	0.1700432935
