population_1	population_2	comparison_set	dataset	platform_or_software	settings	fst_distance	standard_error	raw_output_file	notes
Jew_Ashkenazi.HO	Cretan.DG	Jew_Ashkenazi.HO vs selected Mediterranean and Jewish comparators	Human Origins v62.0	IllustrativeDNA Admix Lab	Adjust Pseudohaploids=NO	0.0049	0.00124	outputs/raw/fst/fst_jew_ashkenazi_raw_output.txt	Author-generated FST run
Jew_Ashkenazi.HO	Italian_South.HO	Jew_Ashkenazi.HO vs selected Mediterranean and Jewish comparators	Human Origins v62.0	IllustrativeDNA Admix Lab	Adjust Pseudohaploids=NO	0.0049	0.00033	outputs/raw/fst/fst_jew_ashkenazi_raw_output.txt	Author-generated FST run
Jew_Ashkenazi.HO	Sicilian.HO	Jew_Ashkenazi.HO vs selected Mediterranean and Jewish comparators	Human Origins v62.0	IllustrativeDNA Admix Lab	Adjust Pseudohaploids=NO	0.0052	0.00041	outputs/raw/fst/fst_jew_ashkenazi_raw_output.txt	Author-generated FST run
Jew_Ashkenazi.HO	Greek.HO	Jew_Ashkenazi.HO vs selected Mediterranean and Jewish comparators	Human Origins v62.0	IllustrativeDNA Admix Lab	Adjust Pseudohaploids=NO	0.0055	0.00035	outputs/raw/fst/fst_jew_ashkenazi_raw_output.txt	Author-generated FST run
Jew_Ashkenazi.HO	Maltese.HO	Jew_Ashkenazi.HO vs selected Mediterranean and Jewish comparators	Human Origins v62.0	IllustrativeDNA Admix Lab	Adjust Pseudohaploids=NO	0.0066	0.00045	outputs/raw/fst/fst_jew_ashkenazi_raw_output.txt	Author-generated FST run
Jew_Ashkenazi.HO	Jew_Moroccan.HO	Jew_Ashkenazi.HO vs selected Mediterranean and Jewish comparators	Human Origins v62.0	IllustrativeDNA Admix Lab	Adjust Pseudohaploids=NO	0.0091	0.00058	outputs/raw/fst/fst_jew_ashkenazi_raw_output.txt	Author-generated FST run
Jew_Ashkenazi.HO	Jew_Iraqi.DG	Jew_Ashkenazi.HO vs selected Mediterranean and Jewish comparators	Human Origins v62.0	IllustrativeDNA Admix Lab	Adjust Pseudohaploids=NO	0.0122	0.00138	outputs/raw/fst/fst_jew_ashkenazi_raw_output.txt	Author-generated FST run
Jew_Ashkenazi.HO	Jew_Iranian.HO	Jew_Ashkenazi.HO vs selected Mediterranean and Jewish comparators	Human Origins v62.0	IllustrativeDNA Admix Lab	Adjust Pseudohaploids=NO	0.0125	0.0005	outputs/raw/fst/fst_jew_ashkenazi_raw_output.txt	Author-generated FST run
Jew_Ashkenazi.HO	Jew_Tunisian.HO	Jew_Ashkenazi.HO vs selected Mediterranean and Jewish comparators	Human Origins v62.0	IllustrativeDNA Admix Lab	Adjust Pseudohaploids=NO	0.0127	0.00056	outputs/raw/fst/fst_jew_ashkenazi_raw_output.txt	Author-generated FST run
Jew_Ashkenazi.HO	Jew_Libyan.HO	Jew_Ashkenazi.HO vs selected Mediterranean and Jewish comparators	Human Origins v62.0	IllustrativeDNA Admix Lab	Adjust Pseudohaploids=NO	0.0132	0.00053	outputs/raw/fst/fst_jew_ashkenazi_raw_output.txt	Author-generated FST run
Jew_Ashkenazi.HO	Jew_Georgian.HO	Jew_Ashkenazi.HO vs selected Mediterranean and Jewish comparators	Human Origins v62.0	IllustrativeDNA Admix Lab	Adjust Pseudohaploids=NO	0.0133	0.00056	outputs/raw/fst/fst_jew_ashkenazi_raw_output.txt	Author-generated FST run
Jew_Ashkenazi.HO	Jew_Yemenite.HO	Jew_Ashkenazi.HO vs selected Mediterranean and Jewish comparators	Human Origins v62.0	IllustrativeDNA Admix Lab	Adjust Pseudohaploids=NO	0.0174	0.00054	outputs/raw/fst/fst_jew_ashkenazi_raw_output.txt	Author-generated FST run
