Target,Distance,Italki_Jew_(n=9),Mediterranean_Aegean_total,Northern_Eastern_Europe_total
Ashkenazi_Jew_Austria_(n=2),0.01385740,70.2,90.6,9.4
Ashkenazi_Jew_Belarus_(n=15),0.01197487,58.0,84.8,15.2
Ashkenazi_Jew_France_(n=8),0.00877108,51.2,100.0,0.0
Ashkenazi_Jew_Germany_(n=10),0.00836110,41.2,100.0,0.0
Ashkenazi_Jew_Latvia_(n=2),0.01593165,60.4,90.8,9.2
Ashkenazi_Jew_Lithuania_(n=11),0.01390042,57.6,86.0,14.0
Ashkenazi_Jew_Poland_(n=35),0.00964821,64.6,86.2,13.8
Ashkenazi_Jew_Romania_(n=2),0.01204780,44.8,87.6,12.4
Ashkenazi_Jew_Russia_(n=10),0.01350939,59.0,83.8,16.2
Ashkenazi_Jew_Ukraine_(n=24),0.01065915,63.0,84.4,15.6
Average,0.01186611,57.0,89.5,10.6
