Target	Distance	Georgia_Mesolithic_Trialetian_Kotias_Klde_(CHG)_(n=1)	Iran_N_Ganj_Dareh_(n=7)	Israel_Epipaleolithic_Natufian_(n=2)	Luxembourg_Mesolithic_Loschbour_(n=1)	Morocco_UP_Iberomaurusian_Taforalt_(n=6)	Russia_Karelia_Mesolithic_(EHG)_(n=15)	Turkey_Anatolia_N_Ceramic_Barcin_(n=22)
Italki_Jew_(n=9)	0.02403957	10.2	11.4	16.2	0.0	0.4	8.6	53.2
Ashkenazi_Jew_Austria_(n=2)	0.02956657	10.4	11.4	15.0	0.0	0.0	13.0	50.2
Ashkenazi_Jew_Belarus_(n=15)	0.02569754	10.6	10.6	12.4	0.0	0.0	15.4	51.0
Ashkenazi_Jew_France_(n=8)	0.02588371	9.6	12.6	14.2	0.0	0.0	10.8	52.8
Ashkenazi_Jew_Germany_(n=10)	0.02345367	10.0	11.4	14.4	0.0	0.0	11.6	52.6
Ashkenazi_Jew_Latvia_(n=2)	0.03122303	11.0	12.8	14.0	0.0	0.0	12.6	49.6
Ashkenazi_Jew_Lithuania_(n=11)	0.02718508	10.0	12.0	12.2	0.0	0.0	14.8	51.0
Ashkenazi_Jew_Poland_(n=35)	0.03011635	11.8	9.4	13.8	0.0	0.0	14.4	50.6
Ashkenazi_Jew_Romania_(n=2)	0.03253612	10.6	10.6	11.4	0.0	0.0	14.4	53.0
Ashkenazi_Jew_Russia_(n=10)	0.02935359	11.0	10.2	12.0	0.0	0.2	15.6	51.0
Ashkenazi_Jew_Ukraine_(n=24)	0.03017816	11.0	9.8	13.0	0.0	0.0	15.4	50.8
Italian_Calabria:ALP129	0.02821606	11.0	12.2	8.0	0.2	1.0	9.4	58.2
Italian_Calabria:ALP582	0.02164298	9.6	12.6	7.4	0.0	0.0	10.4	60.0
Italian_Calabria:ALP596	0.02629029	13.6	8.6	8.8	0.4	0.0	10.8	57.8
Italian_Calabria:ALP597	0.02762018	13.4	9.4	7.8	0.0	0.0	14.2	55.2
Italian_Calabria:BEL57	0.04002234	15.8	6.8	6.8	0.0	0.0	12.6	58.0
Italian_Calabria:PG2012_398	0.03177438	10.4	11.6	7.8	0.8	1.2	9.6	58.6
Italian_Calabria:PG2012_424	0.03195236	14.0	2.8	6.2	0.0	0.0	14.4	62.6
Italian_Calabria:PG2012_699	0.03498995	12.4	10.4	8.4	0.0	0.0	9.8	59.0
Sicilian_East:EastSicilian2H	0.02906807	14.8	5.0	6.6	0.0	0.0	12.6	61.0
Sicilian_East:EastSicilian5H	0.04077660	10.0	7.8	10.6	0.0	0.0	14.8	56.8
Sicilian_East:EastSicilian8H	0.02730268	13.8	9.0	10.2	2.4	0.0	10.2	54.4
Sicilian_West:WestSicilian10H	0.03290261	9.0	9.8	6.4	4.0	0.0	14.4	56.4
Sicilian_West:WestSicilian4H	0.03025219	11.2	9.4	12.2	2.2	0.0	11.0	54.0
Sicilian_West:WestSicilian7H	0.03657659	9.4	8.0	10.2	3.2	0.0	13.2	56.0
Italian_Campania:ALP374	0.04068697	8.4	8.4	11.0	2.6	0.0	11.6	58.0
Italian_Campania:CMP_b001_2	0.02636481	14.2	10.2	9.8	0.0	0.0	10.2	55.6
Italian_Campania:CMP_b002_2	0.04508838	11.4	9.8	6.6	0.0	0.0	11.2	61.0
Italian_Campania:CMP_b003_2	0.04533619	9.4	11.2	4.2	0.0	0.0	13.6	61.6
Italian_Campania:CMP_b004_2	0.03301139	11.4	8.0	10.0	0.0	0.0	13.4	57.2
Italian_Campania:CMP_b005_2	0.04320782	8.8	10.8	6.0	0.0	0.0	11.0	63.4
Italian_Campania:CMP_b007_2	0.02775498	7.2	9.8	8.6	0.0	0.0	11.6	62.8
Italian_Campania:CMP_b008_2	0.03304531	11.4	6.4	6.4	0.0	0.0	15.4	60.4
Italian_Campania:CMP_b009_2	0.03581524	11.8	12.0	5.4	2.0	0.0	10.6	58.2
Italian_Campania:ITS2	0.02724182	11.6	12.0	3.6	0.0	0.0	14.8	58.0
Italian_Campania:ITS4	0.03235515	16.2	6.6	9.8	0.6	0.0	11.6	55.2
Italian_Campania:NaN119AMR	0.03279537	9.6	10.0	7.2	1.2	0.0	13.4	58.6
Italian_Campania:NaN128LA	0.03901819	13.4	7.2	8.0	0.2	0.0	12.4	58.8
Italian_Campania:NaN129RT	0.03517440	15.2	5.6	5.6	0.0	0.0	13.8	59.8
Italian_Campania:NaN195ST	0.02340188	14.2	8.2	5.4	0.8	0.0	9.4	62.0
Italian_Campania:NaN207MM	0.03316823	12.2	8.4	8.0	0.0	0.0	12.6	58.8
Italian_Campania:NaN212CR	0.03769519	11.4	6.8	6.2	0.0	0.0	14.4	61.2
Italian_Campania:NaN238DM	0.02764086	15.2	6.2	4.6	1.4	0.0	12.6	60.0
Italian_Campania:NaN275IS	0.02232872	12.8	10.6	9.6	0.0	0.0	10.6	56.4
Italian_Campania:NaN289RM	0.02927373	12.6	7.8	2.4	0.0	0.0	13.2	64.0
Italian_Campania:NaN293SF	0.03004865	9.2	13.4	5.0	1.4	0.0	12.0	59.0
Italian_Campania:NaN43TC	0.03084234	13.8	5.2	7.8	0.8	0.0	13.0	59.4
Italian_Campania:NaN46TC	0.04250859	9.4	9.4	8.8	0.0	0.0	12.8	59.6
