Target	Distance	Italki	Strict_Central_Mediterranean	Broader_Italian_and_Central_Mediterranean	Levantine_Continuity	Northern_and_Eastern_Europe
Ashkenazi_Jew_Austria_(n=2)	0.01210924	37.8	56.6	63.2	25.8	11.0
Ashkenazi_Jew_Belarus_(n=15)	0.01096003	26.8	53.8	53.8	26.2	20.0
Ashkenazi_Jew_France_(n=8)	0.00736007	34.8	76.4	76.4	18.2	5.4
Ashkenazi_Jew_Germany_(n=10)	0.00665239	31.8	75.4	75.4	16.6	8.0
Ashkenazi_Jew_Latvia_(n=2)	0.01221154	50.8	50.8	55.6	31.8	12.6
Ashkenazi_Jew_Lithuania_(n=11)	0.01169045	20.4	53.2	53.2	29.8	17.0
Ashkenazi_Jew_Poland_(n=35)	0.00856440	53.6	55.4	64.4	21.2	14.4
Ashkenazi_Jew_Romania_(n=2)	0.01231077	38.6	54.8	64.8	20.4	14.8
Ashkenazi_Jew_Russia_(n=10)	0.01284045	41.6	54.2	57.4	23.8	18.8
Ashkenazi_Jew_Ukraine_(n=24)	0.00943796	45.2	55.6	60.4	21.6	18.0
Unweighted_Regional_Average	0.01041373	38.1	58.6	62.5	23.5	14.0
